NO_OF_FRAMES	2130
NO_OF_CAMERAS	6
NO_OF_MARKERS	31
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:10:36.270	4128673.93321610
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
153	1.52000	387.119	-149.502	826.970	378.644	-251.268	807.548	215.527	-234.768	809.017	233.634	-129.805	833.878	294.976	-296.438	653.329	302.461	-175.234	601.311	509.802	-237.640	595.155	97.781	-239.071	579.802	556.609	-229.373	530.174	47.588	-238.115	504.387	355.298	-327.398	167.461	260.857	-325.222	174.547	471.924	-121.032	149.851	602.775	-173.635	280.933	0.000	0.000	0.000	19.103	-167.139	247.119	0.000	0.000	0.000	495.546	48.970	280.279	429.837	29.812	300.061	127.252	68.140	259.447	191.529	44.693	280.791	391.679	129.181	352.431	432.808	76.640	364.239	425.733	123.993	440.897	484.239	86.158	343.926	509.826	114.660	403.022	252.152	113.607	344.697	188.547	90.146	347.048	199.975	143.318	418.601	133.822	99.655	317.494	101.013	123.253	375.624
154	1.53000	387.202	-149.470	826.947	378.704	-251.217	807.529	215.588	-234.716	809.045	233.702	-129.765	833.865	295.001	-296.393	653.327	302.492	-175.153	601.316	509.836	-237.648	595.088	97.842	-239.024	579.811	556.632	-229.391	530.092	47.618	-238.059	504.432	355.248	-327.365	167.434	260.798	-325.187	174.553	471.762	-121.086	149.779	602.630	-173.659	280.754	0.000	0.000	0.000	19.069	-167.158	247.160	0.000	0.000	0.000	495.372	48.891	280.150	429.665	29.654	299.925	127.500	68.037	259.529	191.724	44.499	280.831	391.409	128.299	352.989	432.700	76.014	364.261	425.585	122.920	441.206	484.035	85.832	343.923	509.727	113.995	403.109	252.521	113.154	344.917	188.724	89.630	347.247	200.192	142.534	418.927	134.013	99.261	317.749	101.223	122.698	375.979
155	1.54000	387.269	-149.417	826.916	378.749	-251.197	807.543	215.643	-234.669	809.077	233.755	-129.712	833.844	295.050	-296.340	653.331	302.588	-175.098	601.397	509.856	-237.651	595.020	97.852	-238.993	579.823	556.659	-229.403	529.998	47.635	-238.007	504.457	355.195	-327.342	167.436	260.768	-325.153	174.541	471.616	-121.162	149.744	602.576	-173.747	280.676	0.000	0.000	0.000	19.096	-167.155	247.197	0.000	0.000	0.000	495.213	48.798	279.992	429.514	29.508	299.749	127.745	67.924	259.658	191.919	44.298	280.898	391.139	127.292	353.671	432.643	75.378	364.267	425.525	121.873	441.527	483.858	85.461	343.896	509.610	113.322	403.291	252.928	112.629	345.110	188.946	89.130	347.403	200.353	141.657	419.373	134.243	98.939	317.917	101.549	122.160	376.316
156	1.55000	387.353	-149.413	826.919	378.832	-251.159	807.530	215.719	-234.597	809.090	233.820	-129.666	833.844	295.080	-296.288	653.317	302.633	-174.993	601.388	509.886	-237.631	594.934	97.891	-238.930	579.870	556.629	-229.394	529.824	47.646	-237.952	504.460	355.138	-327.312	167.440	260.718	-325.108	174.550	471.500	-121.150	149.578	602.437	-173.783	280.448	0.000	0.000	0.000	19.096	-167.170	247.186	0.000	0.000	0.000	495.130	48.721	279.836	429.447	29.316	299.604	127.940	67.834	259.719	192.175	44.105	280.912	390.886	126.326	354.375	432.595	74.741	364.241	425.475	120.772	441.724	483.726	85.081	343.873	509.494	112.755	403.367	253.537	112.010	345.510	189.117	88.632	347.585	200.457	140.802	419.753	134.560	98.682	318.073	101.845	121.736	376.620
157	1.56000	387.410	-149.375	826.881	378.890	-251.112	807.499	215.777	-234.543	809.101	233.899	-129.618	833.862	295.114	-296.211	653.306	302.641	-174.895	601.382	509.938	-237.607	594.864	97.925	-238.864	579.871	556.649	-229.401	529.729	47.684	-237.905	504.461	355.113	-327.294	167.431	260.677	-325.070	174.543	471.431	-121.227	149.473	602.424	-173.934	280.407	0.000	0.000	0.000	19.119	-167.159	247.181	0.000	0.000	0.000	495.041	48.666	279.733	429.381	29.151	299.477	128.192	67.782	259.780	192.310	43.902	281.005	390.646	125.137	355.185	432.587	74.190	364.258	425.381	119.868	441.867	483.666	84.726	343.917	509.477	112.197	403.503	253.939	111.364	345.722	189.173	87.973	347.835	200.665	139.852	420.341	134.765	98.343	318.249	102.105	121.242	376.863
158	1.57000	387.445	-149.322	826.862	378.949	-251.081	807.495	215.845	-234.489	809.109	233.991	-129.555	833.846	295.163	-296.162	653.302	302.651	-174.772	601.416	509.936	-237.590	594.824	97.956	-238.829	579.919	556.668	-229.405	529.627	47.698	-237.902	504.522	355.063	-327.279	167.453	260.637	-325.038	174.553	471.265	-121.265	149.355	602.359	-174.045	280.262	0.000	0.000	0.000	19.164	-167.161	247.218	0.000	0.000	0.000	495.027	48.561	279.677	429.358	28.998	299.348	128.432	67.756	259.830	192.520	43.726	281.056	390.188	124.054	355.965	432.582	73.627	364.323	425.214	119.115	442.044	483.612	84.401	343.926	509.410	111.754	403.585	254.359	110.768	345.911	189.447	87.601	347.832	200.743	138.954	420.709	134.943	98.029	318.412	102.389	120.851	377.128
159	1.58000	387.524	-149.311	826.870	379.003	-251.045	807.486	215.897	-234.453	809.124	234.043	-129.520	833.874	294.745	-295.992	653.195	302.656	-174.726	601.365	509.946	-237.554	594.747	97.954	-238.766	579.941	556.692	-229.418	529.550	47.728	-237.886	504.534	355.020	-327.246	167.422	260.593	-325.000	174.544	471.214	-121.396	149.300	602.290	-174.141	280.132	0.000	0.000	0.000	19.175	-167.164	247.255	0.000	0.000	0.000	494.992	48.518	279.533	429.382	28.798	299.256	128.624	67.705	259.956	192.673	43.553	281.105	389.728	123.010	356.592	432.608	73.125	364.326	425.061	118.448	442.199	483.591	84.162	343.903	509.406	111.424	403.652	254.759	110.184	346.262	189.459	87.027	348.149	200.796	138.007	421.171	135.095	97.783	318.601	102.607	120.440	377.423
160	1.59000	387.596	-149.272	826.878	379.048	-251.032	807.465	215.955	-234.398	809.129	234.096	-129.487	833.873	294.752	-295.943	653.177	302.768	-174.706	601.442	510.010	-237.512	594.676	97.971	-238.770	579.978	556.721	-229.447	529.498	47.740	-237.883	504.550	354.960	-327.182	167.424	260.532	-324.963	174.538	471.074	-121.460	149.051	602.270	-174.278	280.046	0.000	0.000	0.000	19.234	-167.157	247.214	0.000	0.000	0.000	494.985	48.453	279.432	429.372	28.718	299.091	128.835	67.650	259.995	192.785	43.407	281.158	389.412	122.377	356.934	432.686	72.574	364.290	425.038	117.725	442.314	483.586	83.885	343.809	509.381	110.987	403.758	255.127	109.667	346.520	189.536	86.407	348.405	200.871	137.058	421.652	135.309	97.506	318.803	102.887	120.060	377.691
161	1.60000	387.654	-149.229	826.861	379.106	-250.980	807.439	215.972	-234.387	809.132	234.167	-129.431	833.896	294.764	-295.887	653.206	302.702	-174.638	601.424	510.021	-237.478	594.644	97.980	-238.729	579.991	556.730	-229.440	529.398	47.760	-237.858	504.597	354.921	-327.194	167.445	260.507	-324.914	174.518	470.932	-121.579	149.022	602.266	-174.419	279.974	0.000	0.000	0.000	19.227	-167.176	247.238	0.000	0.000	0.000	494.931	48.369	279.229	429.432	28.565	299.023	129.004	67.624	260.107	192.882	43.253	281.255	389.205	121.791	357.244	432.751	72.037	364.297	424.962	117.058	442.549	483.607	83.527	343.758	509.413	110.469	403.892	255.410	109.172	346.723	189.736	86.033	348.456	201.013	136.182	422.109	135.506	97.248	318.990	103.055	119.635	378.087
162	1.61000	387.713	-149.214	826.846	379.147	-250.938	807.434	216.050	-234.326	809.129	234.200	-129.398	833.914	294.799	-295.872	653.231	302.732	-174.633	601.411	510.047	-237.447	594.617	98.002	-238.691	579.997	556.765	-229.413	529.353	47.767	-237.829	504.599	354.869	-327.162	167.425	260.453	-324.893	174.528	470.799	-121.670	148.823	602.221	-174.532	279.907	0.000	0.000	0.000	19.293	-167.171	247.219	0.000	0.000	0.000	494.905	48.295	279.092	429.479	28.450	298.896	129.125	67.581	260.198	193.010	43.160	281.286	389.174	121.228	357.553	432.778	71.582	364.336	424.963	116.383	442.660	483.637	83.229	343.794	509.401	110.008	404.005	255.745	108.697	346.970	189.837	85.553	348.664	201.116	135.478	422.455	135.673	97.026	319.194	103.345	119.301	378.332
163	1.62000	387.755	-149.161	826.804	379.213	-250.896	807.402	216.086	-234.284	809.177	234.266	-129.359	833.917	294.840	-295.794	653.192	302.728	-174.551	601.375	510.067	-237.408	594.593	98.055	-238.665	580.001	556.765	-229.439	529.335	47.764	-237.797	504.594	354.822	-327.149	167.430	260.394	-324.858	174.542	470.606	-121.722	148.747	602.230	-174.676	279.817	0.000	0.000	0.000	19.304	-167.187	247.231	0.000	0.000	0.000	494.979	48.233	278.945	429.592	28.358	298.789	129.247	67.550	260.275	193.157	43.050	281.328	389.208	120.598	357.950	432.864	71.054	364.410	424.863	115.812	442.700	483.674	82.929	343.856	509.372	109.548	404.094	256.055	108.210	347.280	189.916	85.168	348.804	201.299	134.804	422.745	135.817	96.839	319.305	103.537	118.969	378.538
164	1.63000	387.784	-149.109	826.821	379.259	-250.856	807.390	216.143	-234.242	809.181	234.302	-129.324	833.937	294.837	-295.754	653.219	302.784	-174.544	601.435	510.130	-237.364	594.544	98.019	-238.621	580.043	556.780	-229.429	529.328	47.783	-237.768	504.634	354.793	-327.128	167.450	260.379	-324.813	174.546	470.552	-121.816	148.586	602.253	-174.778	279.801	0.000	0.000	0.000	19.369	-167.208	247.269	0.000	0.000	0.000	495.079	48.206	278.853	429.696	28.164	298.723	129.418	67.553	260.306	193.296	42.944	281.404	389.081	119.897	358.305	432.925	70.602	364.453	424.784	115.187	442.810	483.679	82.702	343.887	509.391	109.085	404.266	256.297	107.788	347.495	189.997	84.745	348.976	201.388	134.034	423.147	135.894	96.628	319.494	103.670	118.641	378.727
165	1.64000	387.801	-149.038	826.776	379.291	-250.832	807.387	216.166	-234.210	809.202	234.355	-129.275	833.927	294.839	-295.713	653.217	302.835	-174.452	601.372	510.091	-237.372	594.546	98.033	-238.587	580.012	556.767	-229.414	529.267	47.808	-237.702	504.618	354.747	-327.094	167.446	260.330	-324.768	174.539	470.533	-121.826	148.516	602.301	-174.884	279.803	0.000	0.000	0.000	19.361	-167.188	247.215	0.000	0.000	0.000	495.167	48.134	278.835	429.804	28.083	298.667	129.612	67.577	260.338	193.379	42.848	281.475	388.918	119.050	358.790	432.981	70.102	364.392	424.662	114.372	442.987	483.664	82.487	343.942	509.369	108.683	404.426	256.468	107.365	347.725	190.041	84.299	349.110	201.459	133.246	423.564	135.999	96.389	319.623	103.716	118.132	378.999
166	1.65000	387.900	-149.037	826.804	379.320	-250.791	807.372	216.193	-234.189	809.229	234.426	-129.216	833.894	294.869	-295.683	653.180	302.816	-174.510	601.354	510.136	-237.350	594.513	98.081	-238.542	580.009	556.803	-229.438	529.249	47.803	-237.667	504.614	354.700	-327.077	167.458	260.295	-324.741	174.551	470.500	-121.832	148.497	602.335	-174.979	279.817	0.000	0.000	0.000	19.400	-167.222	247.252	0.000	0.000	0.000	495.210	48.125	278.691	429.948	27.964	298.548	129.705	67.551	260.457	193.480	42.750	281.507	388.883	118.102	359.378	433.139	69.459	364.384	424.638	113.442	443.255	483.698	82.183	344.037	509.307	108.228	404.612	256.692	106.965	347.931	190.023	83.812	349.299	201.327	132.348	424.049	136.102	96.162	319.732	103.870	117.669	379.175
167	1.66000	387.892	-148.968	826.766	379.357	-250.756	807.390	216.236	-234.122	809.236	234.448	-129.192	833.897	294.865	-295.648	653.180	302.824	-174.441	601.346	510.150	-237.357	594.517	98.105	-238.496	580.009	556.811	-229.452	529.230	47.828	-237.605	504.608	354.677	-327.054	167.494	260.221	-324.687	174.540	470.491	-121.829	148.507	602.405	-175.066	279.833	0.000	0.000	0.000	19.398	-167.196	247.244	0.000	0.000	0.000	495.336	48.124	278.596	430.086	27.843	298.495	129.826	67.587	260.502	193.442	42.657	281.646	388.834	116.898	360.194	433.210	68.774	364.472	424.617	112.339	443.550	483.761	81.877	344.099	509.274	107.617	404.849	256.756	106.407	348.354	189.864	83.143	349.571	201.111	131.328	424.562	136.082	95.731	319.963	103.844	117.150	379.560
168	1.67000	387.953	-148.958	826.739	379.366	-250.728	807.374	216.266	-234.084	809.261	234.467	-129.147	833.891	294.882	-295.589	653.166	302.883	-174.414	601.349	510.146	-237.370	594.490	98.118	-238.425	580.000	556.859	-229.505	529.226	47.819	-237.586	504.594	354.659	-327.022	167.492	260.207	-324.657	174.543	470.489	-121.802	148.426	602.428	-175.103	279.744	0.000	0.000	0.000	19.413	-167.196	247.232	0.000	0.000	0.000	495.389	48.161	278.521	430.206	27.742	298.418	129.922	67.620	260.609	193.490	42.576	281.747	388.968	115.559	361.174	433.356	67.997	364.524	424.576	111.057	443.826	483.802	81.502	344.229	509.186	107.007	405.174	256.746	105.727	348.882	189.177	81.946	350.422	200.781	129.955	425.258	136.119	95.457	320.201	103.937	116.647	379.898
169	1.68000	388.006	-148.947	826.747	379.390	-250.705	807.411	216.306	-234.027	809.261	234.522	-129.088	833.845	294.867	-295.569	653.182	302.853	-174.305	601.311	510.169	-237.376	594.490	98.116	-238.382	579.998	556.857	-229.514	529.249	47.831	-237.532	504.564	354.633	-326.993	167.486	260.161	-324.617	174.530	470.518	-121.809	148.398	602.515	-175.188	279.807	0.000	0.000	0.000	19.455	-167.141	247.136	0.000	0.000	0.000	495.490	48.186	278.539	430.313	27.633	298.358	130.057	67.672	260.682	193.528	42.498	281.800	388.904	114.091	362.134	433.528	67.224	364.531	424.527	109.679	444.191	483.825	81.179	344.351	509.129	106.249	405.559	256.750	104.961	349.399	189.012	81.203	350.683	200.361	128.417	425.960	136.206	95.221	320.419	103.954	116.110	380.268
170	1.69000	388.015	-148.903	826.702	379.403	-250.674	807.401	216.276	-234.005	809.274	234.530	-129.056	833.857	294.860	-295.522	653.197	302.856	-174.326	601.348	510.196	-237.394	594.450	98.110	-238.320	579.980	556.882	-229.537	529.223	47.840	-237.487	504.560	354.613	-326.964	167.478	260.146	-324.593	174.545	470.592	-121.786	148.422	602.644	-175.232	279.829	0.000	0.000	0.000	19.460	-167.136	247.149	0.000	0.000	0.000	495.602	48.175	278.585	430.465	27.451	298.349	130.168	67.761	260.765	193.561	42.416	281.890	388.901	112.601	363.257	433.556	66.418	364.631	424.408	108.259	444.711	483.822	80.701	344.698	508.972	105.497	406.054	256.857	104.146	349.791	188.784	80.353	350.995	199.919	126.728	426.780	136.318	94.966	320.642	103.982	115.511	380.733
171	1.70000	388.023	-148.876	826.703	379.413	-250.665	807.401	216.279	-233.962	809.290	234.564	-129.000	833.851	294.842	-295.496	653.177	302.872	-174.284	601.280	510.207	-237.393	594.463	98.128	-238.265	579.964	556.891	-229.549	529.190	47.885	-237.412	504.508	354.594	-326.950	167.492	260.131	-324.577	174.554	0.000	0.000	0.000	602.715	-175.270	279.840	0.000	0.000	0.000	19.492	-167.098	247.054	0.000	0.000	0.000	495.683	48.174	278.666	430.519	27.339	298.348	130.249	67.819	260.860	193.647	42.336	281.973	388.910	110.918	364.314	433.673	65.639	364.751	424.196	106.856	445.243	483.817	80.254	345.061	508.832	104.736	406.531	257.085	103.270	350.384	189.339	80.154	350.507	199.609	124.955	427.572	136.312	94.580	320.906	104.185	114.938	381.084
172	1.71000	388.047	-148.860	826.681	379.428	-250.663	807.409	216.312	-233.911	809.294	234.600	-128.962	833.846	294.882	-295.469	653.149	302.865	-174.234	601.314	510.216	-237.415	594.465	98.137	-238.236	579.916	556.938	-229.586	529.214	47.878	-237.362	504.502	354.562	-326.918	167.477	260.102	-324.549	174.555	0.000	0.000	0.000	602.915	-175.772	280.420	0.000	0.000	0.000	19.533	-167.059	247.066	0.000	0.000	0.000	495.784	48.169	278.856	430.638	27.130	298.397	130.388	67.902	261.006	193.653	42.241	282.044	388.897	109.033	365.648	433.615	64.929	365.005	424.069	105.482	445.643	483.777	79.864	345.395	508.659	103.992	407.060	256.963	102.339	350.995	189.047	79.236	350.935	199.212	123.248	428.317	136.343	94.177	321.228	104.221	114.250	381.609
173	1.72000	388.086	-148.875	826.679	379.430	-250.614	807.390	216.319	-233.860	809.287	234.613	-128.908	833.833	294.872	-295.405	653.168	302.925	-174.219	601.330	510.210	-237.404	594.454	98.156	-238.161	579.909	556.921	-229.568	529.207	47.899	-237.307	504.484	354.536	-326.912	167.480	260.113	-324.529	174.559	0.000	0.000	0.000	602.941	-175.791	280.386	0.000	0.000	0.000	19.521	-167.073	247.069	0.000	0.000	0.000	495.886	48.146	279.052	430.722	26.989	298.520	130.500	67.933	261.205	193.678	42.147	282.136	388.951	106.947	367.191	433.754	64.184	365.295	423.969	104.109	446.115	483.783	79.511	345.671	508.475	103.279	407.684	256.827	101.424	351.574	188.103	77.718	352.112	198.915	121.586	428.995	136.422	93.841	321.489	104.319	113.513	382.092
174	1.73000	388.068	-148.817	826.659	379.434	-250.596	807.390	216.337	-233.827	809.311	234.630	-128.889	833.845	294.839	-295.388	653.151	302.905	-174.220	601.270	510.228	-237.398	594.439	98.138	-238.143	579.912	556.952	-229.596	529.234	48.023	-237.702	504.587	354.523	-326.889	167.503	260.089	-324.509	174.551	0.000	0.000	0.000	603.046	-175.885	280.488	0.000	0.000	0.000	19.578	-167.042	247.039	0.000	0.000	0.000	495.942	48.146	279.199	430.888	26.744	298.728	130.644	68.005	261.377	193.777	42.049	282.323	389.092	104.635	368.787	433.866	63.451	365.705	423.967	102.716	446.728	483.836	79.139	345.937	508.420	102.588	408.187	257.014	100.597	352.072	188.958	77.654	351.457	198.664	119.812	429.788	136.454	93.342	322.029	104.252	112.686	382.795
175	1.74000	388.064	-148.802	826.676	379.441	-250.588	807.393	216.336	-233.802	809.294	234.676	-128.843	833.848	294.856	-295.357	653.172	302.955	-174.205	601.273	510.205	-237.394	594.444	98.127	-238.107	579.850	556.966	-229.612	529.256	48.083	-237.623	504.558	354.528	-326.886	167.485	260.069	-324.501	174.551	0.000	0.000	0.000	603.117	-175.920	280.528	0.000	0.000	0.000	19.609	-167.010	246.997	0.000	0.000	0.000	495.997	48.160	279.453	430.932	26.539	298.921	130.756	68.063	261.594	193.847	41.945	282.453	389.138	102.360	370.354	434.083	62.646	366.039	424.127	101.266	447.429	483.908	78.725	346.268	508.455	101.860	408.744	257.196	99.724	352.648	188.912	76.791	351.797	198.451	118.015	430.618	136.501	92.913	322.486	104.396	111.996	383.349
176	1.75000	388.106	-148.801	826.682	379.441	-250.574	807.411	216.324	-233.773	809.299	234.698	-128.808	833.854	294.853	-295.348	653.161	302.910	-174.136	601.279	510.224	-237.384	594.450	98.176	-238.065	579.827	556.970	-229.655	529.276	48.086	-237.538	504.490	354.530	-326.851	167.486	260.058	-324.494	174.562	0.000	0.000	0.000	603.189	-176.023	280.578	0.000	0.000	0.000	19.683	-166.977	246.900	0.000	0.000	0.000	496.095	48.132	279.818	430.961	26.357	299.175	130.868	68.099	261.797	194.075	41.847	282.548	389.127	100.312	371.708	434.242	61.967	366.323	424.360	99.948	448.042	484.065	78.268	346.810	508.519	101.108	409.382	257.072	98.714	353.394	187.194	74.809	353.781	198.167	116.186	431.459	136.565	92.575	322.838	104.495	111.371	383.801
177	1.76000	388.107	-148.779	826.689	379.440	-250.565	807.404	216.320	-233.752	809.301	234.703	-128.776	833.862	294.818	-295.318	653.185	302.935	-174.085	601.318	510.209	-237.409	594.474	98.150	-238.049	579.805	556.995	-229.644	529.270	48.106	-237.483	504.447	354.506	-326.869	167.548	260.052	-324.469	174.546	0.000	0.000	0.000	603.233	-176.049	280.573	0.000	0.000	0.000	19.733	-166.981	246.901	0.000	0.000	0.000	496.098	48.120	280.060	431.072	26.079	299.498	131.048	68.116	262.140	194.126	41.691	282.760	389.046	98.597	372.964	434.456	61.258	366.742	424.581	98.706	448.703	484.083	77.891	347.259	508.598	100.451	409.946	256.943	97.721	354.159	189.579	75.389	351.852	197.814	114.420	432.261	136.673	92.185	323.153	104.586	110.631	384.421
178	1.77000	388.131	-148.786	826.708	379.435	-250.567	807.407	216.315	-233.733	809.302	234.709	-128.753	833.855	294.832	-295.283	653.168	302.999	-174.061	601.290	510.216	-237.399	594.484	98.184	-238.039	579.768	556.991	-229.653	529.300	48.146	-237.470	504.448	354.506	-326.841	167.512	260.058	-324.456	174.558	0.000	0.000	0.000	603.222	-176.058	280.566	0.000	0.000	0.000	19.773	-166.973	246.858	0.000	0.000	0.000	496.103	48.082	280.363	431.150	25.903	299.850	131.256	68.178	262.408	194.214	41.528	283.017	389.074	97.313	374.047	434.685	60.589	367.279	424.634	97.664	449.427	484.152	77.555	347.701	508.696	99.875	410.477	257.113	96.904	354.789	189.716	74.620	352.100	197.528	112.692	433.075	136.725	91.627	323.739	104.684	109.893	385.012
179	1.78000	388.076	-148.777	826.726	379.415	-250.556	807.398	216.322	-233.694	809.300	234.702	-128.741	833.864	294.839	-295.263	653.162	302.983	-174.086	601.187	510.231	-237.416	594.516	98.178	-238.006	579.748	557.028	-229.702	529.327	48.145	-237.447	504.395	354.500	-326.825	167.536	260.054	-324.420	174.538	0.000	0.000	0.000	603.257	-176.156	280.626	0.000	0.000	0.000	19.830	-166.986	246.831	0.000	0.000	0.000	496.127	48.038	280.730	431.312	25.647	300.338	131.455	68.189	262.615	194.380	41.400	283.250	389.089	96.351	374.958	434.772	60.024	367.725	424.627	96.855	450.002	484.255	77.200	348.258	508.652	99.214	411.124	256.773	95.911	355.667	189.797	73.818	352.474	197.316	110.954	433.821	136.829	91.165	324.214	104.796	109.126	385.713
180	1.79000	388.061	-148.771	826.713	379.396	-250.553	807.407	216.295	-233.696	809.279	234.708	-128.730	833.856	294.848	-295.255	653.163	302.972	-174.045	601.231	510.255	-237.427	594.510	98.182	-237.980	579.696	556.970	-229.671	529.301	48.170	-237.456	504.336	354.493	-326.810	167.522	260.066	-324.406	174.555	0.000	0.000	0.000	603.293	-176.233	280.676	0.000	0.000	0.000	19.978	-166.969	246.750	0.000	0.000	0.000	496.195	48.070	281.157	431.299	25.626	300.606	131.564	68.180	262.896	194.415	41.157	283.596	389.136	95.657	375.651	434.679	59.535	368.208	424.479	96.269	450.548	484.219	76.875	348.912	508.592	98.642	411.870	256.935	94.934	356.348	189.631	72.926	352.908	197.149	109.259	434.618	136.984	90.857	324.532	105.061	108.601	386.298
181	1.80000	388.075	-148.786	826.734	379.393	-250.554	807.440	216.320	-233.699	809.288	234.663	-128.754	833.852	294.824	-295.247	653.152	302.987	-174.005	601.235	510.263	-237.471	594.530	98.196	-237.955	579.687	557.006	-229.760	529.334	47.994	-237.057	504.245	354.493	-326.775	167.512	260.057	-324.390	174.553	0.000	0.000	0.000	603.187	-175.851	280.155	544.560	-217.755	236.972	20.030	-166.995	246.687	0.000	0.000	0.000	496.314	48.060	281.697	431.364	25.545	300.936	131.763	68.112	263.360	194.436	40.975	283.915	389.091	95.162	376.174	434.767	59.054	368.690	424.280	95.491	451.192	484.173	76.574	349.392	508.460	98.130	412.536	257.158	93.974	356.886	189.470	72.129	353.358	197.057	107.787	435.292	137.094	90.438	325.084	105.214	108.026	386.867
182	1.81000	388.069	-148.791	826.753	379.375	-250.577	807.443	216.282	-233.712	809.303	234.684	-128.735	833.827	294.819	-295.245	653.159	302.990	-173.940	601.230	510.251	-237.516	594.559	98.229	-237.905	579.650	556.984	-229.764	529.322	48.042	-237.003	504.173	354.511	-326.773	167.495	260.061	-324.368	174.539	0.000	0.000	0.000	603.164	-175.859	280.172	544.528	-217.717	236.987	20.141	-167.036	246.667	0.000	0.000	0.000	496.299	48.086	281.966	431.450	25.446	301.291	131.947	68.094	263.694	194.639	40.844	284.142	389.042	94.704	376.639	434.862	58.524	369.095	424.117	94.569	451.720	484.186	76.319	349.846	508.327	97.580	413.247	256.810	92.865	357.864	189.607	71.451	353.751	197.005	106.446	436.000	137.206	89.995	325.667	105.498	107.399	387.529
183	1.82000	388.057	-148.811	826.766	379.375	-250.596	807.440	216.266	-233.703	809.276	234.654	-128.757	833.841	294.772	-295.264	653.158	302.991	-173.948	601.206	510.270	-237.552	594.548	98.220	-237.864	579.590	557.013	-229.829	529.342	48.054	-236.987	504.137	354.511	-326.740	167.514	260.058	-324.332	174.520	0.000	0.000	0.000	603.131	-175.853	280.197	544.468	-217.715	237.032	20.237	-167.055	246.575	0.000	0.000	0.000	496.380	48.091	282.277	431.521	25.380	301.598	132.142	68.027	264.059	194.821	40.656	284.454	389.079	94.138	377.277	434.898	58.028	369.379	424.092	93.606	452.196	484.284	76.042	350.296	508.284	96.945	413.813	257.150	92.209	358.433	189.791	70.755	354.122	196.953	105.201	436.685	137.385	89.631	326.077	105.642	106.673	388.124
184	1.83000	388.043	-148.852	826.776	379.346	-250.597	807.435	216.245	-233.709	809.276	234.653	-128.747	833.848	294.772	-295.268	653.132	303.019	-173.961	601.178	510.232	-237.604	594.576	98.186	-237.862	579.565	557.002	-229.888	529.361	48.072	-236.938	504.065	354.500	-326.730	167.509	260.074	-324.318	174.550	0.000	0.000	0.000	602.318	-175.182	279.709	544.385	-217.832	236.843	20.355	-167.072	246.489	0.000	0.000	0.000	496.429	48.179	282.571	431.639	25.311	301.823	132.410	67.961	264.438	194.982	40.446	284.783	389.222	93.376	377.912	434.962	57.500	369.647	424.037	92.655	452.750	484.316	75.760	350.710	508.246	96.347	414.326	257.296	91.442	358.895	189.925	70.048	354.506	196.797	103.839	437.390	137.578	89.185	326.611	105.840	105.991	388.746
