NO_OF_FRAMES	2130
NO_OF_CAMERAS	6
NO_OF_MARKERS	31
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:10:36.270	4128673.93321610
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
11	0.10000	385.021	-149.459	828.333	374.310	-250.711	807.682	211.867	-230.469	805.965	231.874	-125.970	831.812	294.587	-300.155	653.804	301.512	-178.104	601.464	510.979	-241.442	596.555	95.783	-245.645	580.565	556.994	-236.570	529.268	47.298	-251.088	503.448	356.162	-331.185	167.073	261.697	-329.501	174.207	451.764	-131.708	145.394	594.438	-194.978	273.490	0.000	0.000	0.000	30.332	-200.531	237.625	0.000	0.000	0.000	520.473	41.963	283.063	476.059	35.050	338.568	108.693	43.358	257.846	148.853	36.917	317.534	414.235	139.203	359.852	472.039	131.810	338.338	460.190	221.175	334.741	504.913	126.033	291.707	513.663	193.225	265.899	195.199	135.236	355.276	144.619	131.871	314.846	151.754	220.407	299.477	113.352	112.965	264.501	94.516	177.694	235.793
12	0.11000	385.002	-149.393	828.307	374.355	-250.656	807.673	211.928	-230.464	805.994	231.891	-125.956	831.783	294.601	-300.177	653.788	301.503	-178.074	601.451	510.756	-241.701	596.456	95.800	-245.647	580.619	556.970	-236.567	529.294	47.308	-251.050	503.491	356.163	-331.166	167.091	261.699	-329.472	174.216	452.279	-131.562	145.496	594.640	-194.593	273.916	0.000	0.000	0.000	30.116	-200.091	237.942	0.000	0.000	0.000	521.200	42.134	284.676	473.729	34.542	337.384	106.369	43.123	260.633	151.612	36.585	316.830	408.176	138.616	353.001	469.392	131.693	338.154	457.666	220.998	335.091	506.420	126.115	294.856	520.544	193.006	272.161	202.923	135.497	349.278	147.975	131.870	314.394	153.242	220.360	298.859	111.671	112.400	267.449	87.282	176.031	242.018
13	0.12000	384.977	-149.310	828.223	374.390	-250.603	807.704	211.941	-230.489	806.039	231.875	-125.947	831.718	294.565	-300.223	653.769	301.501	-178.170	601.467	510.772	-241.741	596.441	95.787	-245.696	580.680	556.969	-236.590	529.354	47.268	-251.099	503.610	356.167	-331.118	167.059	261.693	-329.447	174.236	452.846	-131.272	145.672	594.753	-194.024	274.302	0.000	0.000	0.000	29.929	-199.563	238.264	0.000	0.000	0.000	521.878	42.262	286.336	471.370	34.259	335.813	105.279	42.989	262.953	154.329	36.104	315.809	402.655	137.834	345.337	466.608	131.676	337.518	454.877	220.770	335.089	507.565	126.027	298.035	525.830	192.850	279.304	209.672	135.080	342.817	151.538	131.705	313.392	155.282	220.404	297.642	110.261	111.998	270.627	80.916	174.578	249.452
14	0.13000	384.976	-149.270	828.161	374.415	-250.577	807.753	211.930	-230.553	806.102	231.840	-125.941	831.656	294.562	-300.252	653.742	301.503	-178.152	601.482	510.729	-241.781	596.444	95.801	-245.735	580.729	556.939	-236.556	529.403	46.998	-250.772	503.589	356.149	-331.082	167.069	261.703	-329.412	174.240	453.476	-130.995	145.868	595.004	-193.667	274.817	0.000	0.000	0.000	29.690	-198.978	238.667	0.000	0.000	0.000	522.494	42.473	287.804	469.399	34.026	334.178	104.417	42.976	265.286	158.261	35.701	313.518	397.948	137.484	336.446	464.460	131.116	336.876	451.804	220.530	334.815	508.210	126.092	300.888	529.766	192.353	287.827	215.210	134.238	336.733	155.134	131.790	311.622	157.864	220.360	296.344	109.429	111.744	273.993	76.090	173.406	258.131
15	0.14000	384.970	-149.218	828.070	374.452	-250.555	807.794	211.943	-230.597	806.138	231.793	-125.968	831.568	294.547	-300.306	653.723	301.492	-178.231	601.420	510.686	-241.809	596.428	95.832	-245.802	580.761	556.937	-236.466	529.432	46.943	-250.797	503.691	356.156	-331.044	167.071	261.700	-329.373	174.236	454.089	-130.715	146.079	595.253	-193.176	275.236	0.000	0.000	0.000	29.486	-198.359	239.067	0.000	0.000	0.000	523.067	42.681	289.184	467.587	33.962	332.469	103.864	43.009	267.339	160.963	35.562	311.780	394.592	137.244	327.711	462.288	130.544	335.909	448.823	220.369	334.185	509.648	125.251	304.774	530.505	192.763	295.152	219.452	133.394	331.002	158.553	132.131	309.642	160.868	220.370	294.320	109.053	111.689	276.960	73.790	173.113	266.605
16	0.15000	384.902	-149.110	827.960	374.495	-250.503	807.819	211.983	-230.640	806.188	231.763	-125.963	831.487	294.550	-300.374	653.728	301.448	-178.246	601.431	510.670	-241.850	596.389	95.849	-245.899	580.767	556.926	-236.385	529.484	46.990	-250.716	503.651	356.144	-331.009	167.068	261.682	-329.302	174.242	454.717	-130.438	146.204	595.463	-192.643	275.674	0.000	0.000	0.000	29.325	-197.759	239.388	0.000	0.000	0.000	523.520	42.931	290.416	465.993	34.009	330.681	103.641	43.163	268.886	163.024	35.540	310.161	392.854	137.202	320.270	460.100	130.484	334.587	446.001	220.232	333.141	509.102	125.497	306.667	530.150	193.021	302.322	222.549	132.665	326.293	161.312	132.273	308.028	163.751	220.381	291.891	109.278	111.963	279.644	73.545	173.330	274.766
17	0.16000	384.873	-149.066	827.870	374.514	-250.498	807.878	211.979	-230.735	806.226	231.688	-126.022	831.399	294.553	-300.413	653.684	301.439	-178.308	601.385	510.614	-241.876	596.349	95.761	-245.930	580.707	556.912	-236.315	529.469	47.005	-250.684	503.692	356.143	-330.969	167.103	261.679	-329.270	174.271	455.449	-130.142	146.432	595.793	-192.109	275.976	0.000	0.000	0.000	29.184	-197.133	239.659	0.000	0.000	0.000	523.838	43.223	291.536	464.470	34.143	328.954	103.597	43.388	270.089	164.543	35.629	308.744	392.363	137.544	314.641	458.078	130.513	333.089	443.234	220.183	331.881	508.259	125.908	308.171	528.910	193.156	308.596	224.983	132.073	322.503	163.509	132.452	306.914	166.427	220.324	289.816	109.960	112.428	281.766	75.380	174.431	280.999
18	0.17000	384.839	-149.018	827.780	374.579	-250.468	807.921	211.998	-230.831	806.278	231.650	-126.055	831.281	294.554	-300.460	653.647	301.419	-178.354	601.306	510.606	-241.885	596.281	95.771	-245.954	580.706	556.889	-236.177	529.449	46.974	-250.588	503.655	356.145	-330.953	167.133	261.674	-329.234	174.267	456.221	-129.812	146.546	596.147	-191.544	276.412	0.000	0.000	0.000	28.981	-196.593	239.896	0.000	0.000	0.000	523.886	43.526	292.225	463.202	34.318	327.409	103.660	43.717	270.788	165.617	35.672	307.644	392.422	138.295	310.565	456.436	130.726	331.373	440.802	220.221	329.940	507.695	126.203	309.431	527.523	193.176	313.357	226.851	131.548	319.856	165.394	132.472	306.349	169.123	220.353	288.100	110.915	113.140	283.180	78.447	176.073	285.075
19	0.18000	384.798	-148.950	827.727	374.619	-250.423	807.908	212.038	-230.935	806.302	231.594	-126.113	831.156	294.561	-300.481	653.605	301.466	-178.393	601.265	510.570	-241.921	596.235	95.788	-245.944	580.616	556.898	-236.063	529.460	46.987	-250.484	503.654	356.148	-330.867	167.108	261.673	-329.178	174.284	457.002	-129.443	146.796	596.473	-190.930	276.743	0.000	0.000	0.000	28.818	-196.008	239.996	0.000	0.000	0.000	523.836	43.823	292.814	462.152	34.640	326.162	103.899	44.009	271.317	166.510	35.712	306.933	392.804	138.948	308.049	455.117	131.164	329.903	438.747	220.517	327.381	507.024	126.466	310.167	526.279	193.258	315.999	228.713	131.033	318.043	166.957	132.521	306.114	172.054	220.463	286.920	112.063	113.957	283.975	81.903	177.952	286.958
20	0.19000	384.741	-148.860	827.615	374.681	-250.368	807.936	212.065	-231.074	806.350	231.512	-126.185	831.087	294.524	-300.527	653.585	301.499	-178.484	601.200	510.548	-241.917	596.147	95.825	-245.936	580.541	556.919	-235.980	529.453	46.978	-250.255	503.475	356.149	-330.832	167.122	261.661	-329.138	174.284	457.844	-129.109	147.067	596.773	-190.171	276.990	0.000	0.000	0.000	28.589	-195.481	240.071	0.000	0.000	0.000	523.638	44.094	292.971	461.423	34.960	325.252	104.254	44.413	271.619	167.124	35.772	306.489	392.841	139.480	306.803	454.177	131.640	328.539	437.566	220.842	324.712	506.568	126.751	310.084	525.549	193.460	316.675	230.279	130.367	317.045	168.525	132.463	305.940	175.267	220.249	286.602	113.144	114.704	284.343	84.927	179.733	287.107
