NO_OF_FRAMES	1456
NO_OF_CAMERAS	6
NO_OF_MARKERS	32
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:12:49.313	4128806.97660850
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	LASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	LASI X	LASI Y	LASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
11	0.10000	394.785	-158.123	834.303	373.276	-255.847	807.355	214.843	-217.384	798.545	243.304	-116.535	830.975	299.345	-293.012	656.953	315.890	-172.782	599.380	515.376	-254.345	611.025	115.203	-220.194	603.380	581.846	-259.177	579.468	47.803	-225.055	564.582	353.327	-353.238	141.699	259.205	-344.689	144.796	472.177	-150.753	130.290	187.382	-133.364	132.967	763.314	-248.321	426.495	722.429	-246.652	359.532	-128.691	-182.331	399.875	-94.985	-195.848	345.671	952.515	-103.918	321.687	918.241	-41.726	330.039	-319.573	-42.236	276.686	-280.567	20.019	276.824	963.005	50.494	296.477	992.158	5.604	304.801	1056.439	57.330	268.406	1015.488	-43.801	293.430	1078.273	-21.871	261.922	-314.365	113.744	242.358	-357.124	61.922	257.491	-428.159	103.481	221.277	-377.027	4.830	257.908	0.000	0.000	0.000
12	0.11000	394.795	-157.980	834.303	373.265	-255.742	807.381	214.819	-217.241	798.569	243.307	-116.345	830.946	299.305	-292.917	656.952	315.921	-172.694	599.344	515.357	-254.268	610.987	115.187	-220.075	603.335	581.848	-259.105	579.406	47.780	-224.919	564.484	353.293	-353.126	141.701	259.159	-344.605	144.832	472.023	-150.621	130.112	187.368	-133.257	132.926	763.270	-248.241	426.393	722.362	-246.569	359.492	-128.591	-182.223	399.672	-94.871	-195.733	345.491	952.434	-103.800	321.546	918.147	-41.621	329.916	-319.450	-42.107	276.332	-280.423	20.114	276.575	962.875	50.599	296.307	992.048	5.717	304.645	1056.283	57.410	268.260	1015.416	-43.677	293.299	1078.169	-21.760	261.713	-314.302	113.817	242.217	-357.038	61.976	257.215	-428.065	103.487	221.026	-376.898	4.893	257.562	0.000	0.000	0.000
13	0.12000	394.840	-157.883	834.275	373.258	-255.612	807.410	214.804	-217.096	798.574	243.324	-116.192	830.940	299.325	-292.805	656.942	315.844	-172.608	599.257	515.351	-254.194	610.949	115.165	-219.972	603.303	581.836	-259.030	579.369	47.762	-224.805	564.402	353.250	-353.040	141.740	259.137	-344.493	144.791	472.018	-150.552	130.143	187.293	-133.141	132.915	763.196	-248.157	426.271	722.268	-246.507	359.397	-128.565	-182.180	399.579	-94.778	-195.650	345.331	952.327	-103.721	321.415	918.076	-41.545	329.812	-319.298	-42.039	276.036	-280.366	20.154	276.397	962.762	50.699	296.121	991.922	5.836	304.479	1056.170	57.542	268.062	1015.289	-43.565	293.153	1078.011	-21.587	261.423	-314.201	113.894	242.014	-356.919	62.013	256.949	-427.913	103.554	220.678	-376.747	4.941	257.182	0.000	0.000	0.000
14	0.13000	394.834	-157.752	834.293	373.229	-255.465	807.422	214.793	-216.970	798.579	243.350	-116.033	830.872	299.296	-292.689	656.918	315.897	-172.537	599.301	515.312	-254.119	610.964	115.150	-219.881	603.252	581.791	-258.980	579.329	47.737	-224.724	564.349	353.228	-352.963	141.742	259.106	-344.400	144.800	472.041	-150.492	130.155	187.297	-133.053	132.853	763.123	-248.076	426.165	722.170	-246.421	359.288	-128.455	-182.055	399.360	-94.706	-195.597	345.209	952.215	-103.613	321.243	917.948	-41.439	329.700	-319.180	-42.016	275.748	-280.168	20.251	276.089	962.598	50.799	296.012	991.813	5.948	304.308	1056.015	57.667	267.869	1015.166	-43.441	292.978	1077.877	-21.466	261.222	-314.089	113.913	241.742	-356.781	62.077	256.662	-427.608	103.685	220.318	-376.583	4.994	256.790	0.000	0.000	0.000
15	0.14000	394.821	-157.589	834.238	373.242	-255.334	807.419	214.798	-216.843	798.595	243.324	-115.911	830.851	299.282	-292.597	656.921	315.911	-172.442	599.230	515.320	-254.034	610.912	115.101	-219.785	603.239	581.784	-258.901	579.267	47.720	-224.642	564.289	353.190	-352.902	141.739	259.078	-344.306	144.787	472.004	-150.426	130.140	187.365	-132.941	132.776	763.062	-248.035	426.082	722.105	-246.372	359.205	-128.429	-182.010	399.243	-94.644	-195.554	345.078	952.100	-103.515	321.092	917.767	-41.318	329.482	-319.037	-41.952	275.467	-280.034	20.327	275.795	962.472	50.910	295.846	991.689	6.082	304.162	1055.868	57.779	267.702	1014.939	-43.194	292.720	1077.691	-21.348	260.975	-313.893	114.008	241.274	-356.555	62.203	256.181	-427.370	103.774	219.752	-376.407	5.088	256.381	0.000	0.000	0.000
16	0.15000	394.856	-157.456	834.227	373.237	-255.227	807.430	214.813	-216.684	798.594	243.340	-115.769	830.842	299.282	-292.498	656.899	315.889	-172.424	599.182	515.308	-253.977	610.898	115.105	-219.687	603.210	581.739	-258.837	579.218	47.718	-224.534	564.205	353.139	-352.824	141.742	259.027	-344.235	144.800	471.920	-150.296	130.115	187.196	-132.912	132.816	763.015	-247.973	425.978	722.031	-246.328	359.135	-128.401	-181.940	399.083	-94.566	-195.514	344.898	951.963	-103.410	320.884	917.708	-41.237	329.380	-318.877	-41.901	275.203	-279.835	20.621	275.444	962.308	51.036	295.668	991.520	6.176	304.046	1055.717	57.881	267.513	1014.801	-43.115	292.558	1077.532	-21.239	260.782	-313.672	114.073	240.808	-356.352	62.283	255.728	-427.168	103.793	219.348	-376.302	5.121	256.131	0.000	0.000	0.000
17	0.16000	394.792	-157.292	834.175	373.220	-255.087	807.462	214.806	-216.584	798.599	243.352	-115.663	830.814	299.294	-292.395	656.886	315.809	-172.326	599.185	515.301	-253.897	610.890	115.072	-219.571	603.194	581.766	-258.765	579.201	47.701	-224.431	564.134	353.119	-352.744	141.778	259.018	-344.132	144.794	471.905	-150.252	130.122	187.193	-132.847	132.789	762.984	-247.930	425.888	721.925	-246.275	359.057	-128.321	-181.864	398.950	-94.485	-195.450	344.766	951.879	-103.301	320.717	917.550	-41.156	329.218	-318.754	-41.843	274.945	-279.730	20.463	275.191	962.129	51.152	295.489	991.361	6.292	303.776	1055.552	58.008	267.326	1014.714	-43.094	292.435	1077.362	-21.077	260.541	-313.513	114.004	240.560	-356.201	62.281	255.405	-426.922	103.854	218.816	-376.162	5.177	255.754	0.000	0.000	0.000
18	0.17000	394.844	-157.180	834.148	373.223	-254.992	807.467	214.851	-216.456	798.619	243.382	-115.513	830.792	299.258	-292.313	656.899	315.787	-172.159	599.199	515.297	-253.830	610.866	115.065	-219.467	603.160	581.733	-258.691	579.148	47.713	-224.320	564.085	353.075	-352.670	141.795	258.989	-344.050	144.811	471.877	-150.185	130.105	187.204	-132.764	132.773	762.940	-247.846	425.802	721.865	-246.233	358.954	-128.300	-181.786	398.750	-94.358	-195.377	344.636	951.744	-103.181	320.531	917.362	-41.044	329.026	-318.614	-41.807	274.708	-279.570	20.751	274.909	961.956	51.252	295.294	991.208	6.422	303.582	1055.323	58.150	267.113	1014.590	-42.916	292.146	1077.193	-20.943	260.291	-313.233	114.075	240.037	-356.044	62.347	255.004	-426.679	103.959	218.190	-375.948	5.281	255.313	0.000	0.000	0.000
19	0.18000	394.825	-157.049	834.100	373.248	-254.851	807.453	214.869	-216.331	798.625	243.402	-115.389	830.758	299.278	-292.235	656.879	315.807	-172.061	599.172	515.289	-253.741	610.853	115.037	-219.386	603.150	581.726	-258.615	579.138	47.683	-224.255	564.088	353.042	-352.593	141.790	258.968	-343.964	144.805	471.841	-150.078	130.104	187.198	-132.699	132.743	762.899	-247.796	425.708	721.792	-246.189	358.884	-128.187	-181.682	398.586	-94.241	-195.323	344.480	951.613	-103.072	320.356	917.229	-40.937	328.855	-318.451	-41.702	274.321	-279.425	20.798	274.644	961.753	51.375	295.062	991.023	6.525	303.359	1055.146	58.310	266.821	1014.457	-42.803	291.953	1076.996	-20.805	260.051	-313.008	114.155	239.481	-355.858	62.389	254.532	-426.464	104.010	217.727	-375.798	5.294	254.962	0.000	0.000	0.000
20	0.19000	394.835	-156.912	834.098	373.268	-254.741	807.462	214.854	-216.213	798.639	243.406	-115.290	830.758	299.249	-292.130	656.909	315.826	-172.005	599.123	515.295	-253.661	610.828	115.008	-219.283	603.140	581.724	-258.551	579.095	47.682	-224.125	564.027	353.023	-352.530	141.788	258.928	-343.899	144.833	471.842	-150.021	130.095	187.158	-132.650	132.734	762.875	-247.729	425.634	721.738	-246.165	358.798	-128.142	-181.673	398.486	-94.157	-195.284	344.332	951.507	-102.969	320.176	917.068	-40.827	328.677	-318.294	-41.643	273.959	-279.326	20.821	274.306	961.564	51.450	294.801	990.874	6.628	303.089	1054.932	58.427	266.602	1014.289	-42.667	291.756	1076.830	-20.662	259.807	-312.750	114.222	239.152	-355.671	62.463	254.063	-426.311	103.972	217.353	-375.609	5.344	254.581	0.000	0.000	0.000
