NO_OF_FRAMES	910
NO_OF_CAMERAS	6
NO_OF_MARKERS	32
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:03:17.501	4128235.16444500
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	LASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	LASI X	LASI Y	LASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
11	0.10000	390.007	-128.175	840.459	390.770	-227.515	806.433	226.249	-221.399	805.836	236.222	-119.895	845.602	309.588	-270.108	660.913	312.104	-150.327	605.890	529.789	-210.133	595.509	108.134	-220.042	594.412	572.077	-226.266	526.522	58.154	-238.840	519.169	363.780	-327.834	167.031	269.497	-326.032	174.328	0.000	0.000	0.000	0.000	0.000	0.000	587.186	-250.429	255.152	525.813	-299.810	250.290	48.629	-243.107	241.058	94.354	-295.339	235.263	560.858	-204.112	5.408	546.437	-133.927	11.217	80.425	-193.702	-15.807	100.340	-122.479	-9.398	0.000	0.000	0.000	535.286	-138.521	-87.665	0.000	0.000	0.000	543.652	-193.819	-81.265	518.897	-197.672	-146.365	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.826	-184.500	-89.146	109.477	-206.889	-158.032
12	0.11000	389.970	-128.104	840.448	390.746	-227.504	806.452	226.251	-221.353	805.844	236.207	-119.848	845.577	309.563	-270.089	660.916	312.012	-150.283	605.907	529.783	-210.084	595.510	108.137	-220.006	594.414	572.058	-226.230	526.540	58.146	-238.808	519.171	363.790	-327.846	167.034	269.480	-326.016	174.294	0.000	0.000	0.000	0.000	0.000	0.000	587.138	-250.362	255.123	525.815	-299.770	250.277	48.598	-243.110	241.063	94.338	-295.339	235.271	560.855	-204.116	5.398	546.517	-133.881	11.231	80.419	-193.706	-15.809	100.346	-122.463	-9.405	0.000	0.000	0.000	535.298	-138.531	-87.686	0.000	0.000	0.000	543.657	-193.827	-81.248	518.920	-197.689	-146.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.814	-184.504	-89.122	109.510	-206.866	-158.007
13	0.12000	390.023	-128.113	840.434	390.760	-227.462	806.445	226.200	-221.339	805.828	236.166	-119.828	845.615	309.561	-270.050	660.943	312.051	-150.249	605.874	529.797	-210.063	595.488	108.130	-219.960	594.369	572.049	-226.212	526.528	58.126	-238.775	519.159	363.289	-328.031	167.433	269.473	-326.015	174.307	0.000	0.000	0.000	0.000	0.000	0.000	587.183	-250.260	254.781	525.819	-299.761	250.303	48.642	-243.073	241.028	94.361	-295.322	235.256	560.850	-204.089	5.394	546.463	-133.919	11.244	80.444	-193.666	-15.834	100.333	-122.462	-9.415	0.000	0.000	0.000	535.348	-138.527	-87.672	0.000	0.000	0.000	543.706	-193.855	-81.228	518.912	-197.649	-146.416	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.846	-184.470	-89.169	109.512	-206.836	-158.069
14	0.13000	390.033	-128.099	840.448	390.727	-227.419	806.450	226.166	-221.298	805.808	236.220	-119.750	845.596	309.561	-269.979	660.931	312.056	-150.214	605.869	529.767	-210.028	595.499	108.134	-219.923	594.381	572.059	-226.176	526.552	58.115	-238.741	519.122	363.305	-328.012	167.416	269.501	-326.015	174.334	0.000	0.000	0.000	0.000	0.000	0.000	587.232	-250.252	254.828	525.796	-299.720	250.290	48.614	-243.056	241.051	94.344	-295.295	235.254	560.858	-204.078	5.421	546.480	-133.915	11.274	80.451	-193.649	-15.847	100.335	-122.421	-9.395	0.000	0.000	0.000	535.321	-138.492	-87.699	0.000	0.000	0.000	543.602	-193.767	-81.331	518.921	-197.668	-146.369	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.838	-184.476	-89.129	109.527	-206.859	-158.077
15	0.14000	390.050	-128.105	840.486	390.721	-227.388	806.465	226.207	-221.232	805.798	236.217	-119.710	845.588	309.536	-269.948	660.946	312.033	-150.200	605.896	529.776	-210.000	595.512	108.107	-219.896	594.406	572.050	-226.162	526.552	58.127	-238.688	519.117	363.298	-328.009	167.430	269.490	-325.979	174.305	0.000	0.000	0.000	0.000	0.000	0.000	587.272	-250.280	254.852	525.793	-299.711	250.318	48.606	-243.047	241.035	94.346	-295.268	235.261	560.859	-204.067	5.411	546.511	-133.929	11.325	80.447	-193.647	-15.862	100.343	-122.437	-9.419	0.000	0.000	0.000	535.369	-138.531	-87.683	0.000	0.000	0.000	543.679	-193.802	-81.209	518.953	-197.643	-146.365	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.845	-184.470	-89.169	109.506	-206.835	-158.088
16	0.15000	389.986	-128.016	840.452	390.736	-227.365	806.490	226.134	-221.220	805.800	236.200	-119.672	845.595	309.522	-269.903	660.966	312.062	-150.173	605.824	529.762	-209.974	595.521	108.118	-219.845	594.354	571.986	-226.081	526.538	58.125	-238.641	519.081	363.320	-328.004	167.410	269.507	-325.965	174.294	0.000	0.000	0.000	0.000	0.000	0.000	587.186	-250.235	254.782	525.781	-299.701	250.323	48.605	-243.036	241.016	94.342	-295.238	235.256	560.844	-204.083	5.417	546.437	-133.887	11.212	80.427	-193.635	-15.844	100.331	-122.413	-9.379	0.000	0.000	0.000	535.341	-138.517	-87.685	0.000	0.000	0.000	543.656	-193.811	-81.262	518.932	-197.661	-146.358	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.834	-184.473	-89.144	109.496	-206.837	-158.061
17	0.16000	389.972	-127.974	840.456	390.688	-227.317	806.452	226.162	-221.157	805.795	236.167	-119.623	845.593	309.519	-269.846	660.954	312.055	-150.089	605.853	529.742	-209.927	595.515	108.077	-219.799	594.365	572.039	-226.091	526.598	58.124	-238.618	519.092	363.315	-327.991	167.437	269.503	-325.951	174.299	0.000	0.000	0.000	0.000	0.000	0.000	587.204	-250.196	254.806	525.800	-299.671	250.327	48.598	-243.016	240.994	94.330	-295.241	235.252	560.864	-204.053	5.422	546.527	-133.864	11.312	80.447	-193.604	-15.864	100.344	-122.388	-9.434	0.000	0.000	0.000	535.332	-138.468	-87.727	0.000	0.000	0.000	543.635	-193.761	-81.319	518.988	-197.658	-146.336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.847	-184.474	-89.156	109.511	-206.837	-158.070
18	0.17000	389.962	-127.944	840.461	390.658	-227.280	806.429	226.117	-221.115	805.783	236.148	-119.594	845.586	309.517	-269.812	660.961	312.052	-150.061	605.890	529.752	-209.882	595.542	108.079	-219.754	594.322	572.022	-226.064	526.567	58.079	-238.624	519.105	363.333	-327.966	167.416	269.511	-325.928	174.287	0.000	0.000	0.000	0.000	0.000	0.000	587.217	-250.200	254.821	525.792	-299.633	250.333	48.605	-242.994	241.010	94.321	-295.229	235.242	560.873	-204.056	5.403	546.494	-133.870	11.247	80.447	-193.626	-15.863	100.396	-122.352	-9.482	0.000	0.000	0.000	535.396	-138.521	-87.655	0.000	0.000	0.000	543.659	-193.749	-81.290	518.951	-197.651	-146.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.856	-184.446	-89.196	109.514	-206.840	-158.055
19	0.18000	389.900	-127.861	840.451	390.617	-227.213	806.445	226.096	-221.069	805.784	236.123	-119.538	845.571	309.516	-269.752	660.956	312.020	-150.052	605.840	529.724	-209.834	595.533	108.064	-219.745	594.353	572.024	-226.018	526.573	58.096	-238.567	519.094	363.336	-327.974	167.443	269.521	-325.925	174.303	0.000	0.000	0.000	0.000	0.000	0.000	587.172	-250.129	254.800	525.775	-299.603	250.336	48.619	-242.971	241.004	94.319	-295.210	235.246	560.857	-204.040	5.418	546.521	-133.869	11.262	80.442	-193.624	-15.879	100.309	-122.389	-9.420	0.000	0.000	0.000	535.344	-138.449	-87.734	0.000	0.000	0.000	543.649	-193.745	-81.331	518.937	-197.636	-146.384	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.863	-184.473	-89.164	109.552	-206.820	-158.114
20	0.19000	389.876	-127.814	840.431	390.601	-227.181	806.409	226.075	-221.026	805.777	236.101	-119.493	845.577	309.506	-269.711	660.971	311.975	-150.026	605.827	529.718	-209.798	595.551	108.067	-219.682	594.297	571.988	-225.962	526.587	58.042	-238.574	519.144	363.347	-327.937	167.426	269.541	-325.915	174.296	0.000	0.000	0.000	0.000	0.000	0.000	587.206	-250.139	254.839	525.771	-299.612	250.374	48.577	-242.972	240.990	94.319	-295.172	235.226	560.844	-204.036	5.442	546.552	-133.866	11.311	80.481	-193.572	-15.933	100.341	-122.359	-9.430	0.000	0.000	0.000	535.381	-138.477	-87.656	0.000	0.000	0.000	543.636	-193.719	-81.321	518.956	-197.638	-146.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.863	-184.451	-89.165	109.547	-206.828	-158.102
