NO_OF_FRAMES	2087
NO_OF_CAMERAS	6
NO_OF_MARKERS	32
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:00:14.239	4128051.90243010
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	LASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	LASI X	LASI Y	LASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
11	0.10000	387.630	-126.964	839.986	385.247	-226.998	807.568	221.010	-214.794	804.472	234.425	-112.973	842.568	0.000	0.000	0.000	310.414	-149.928	605.390	519.828	-210.153	603.722	109.541	-207.930	593.483	569.530	-226.121	543.900	55.666	-227.635	524.685	362.983	-328.417	167.023	270.376	-325.623	174.039	0.000	0.000	0.000	0.000	0.000	0.000	597.264	-230.668	258.897	542.297	-287.919	253.334	40.313	-225.699	237.721	82.439	-279.866	233.049	565.745	-183.338	8.304	539.211	-117.758	18.406	75.440	-174.119	-19.890	105.606	-106.830	-10.480	0.000	0.000	0.000	532.534	-111.441	-78.987	515.835	-104.459	-165.313	544.863	-166.941	-79.696	517.078	-181.346	-146.484	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.066	-164.530	-93.433	113.737	-184.489	-162.290
12	0.11000	387.573	-126.861	839.972	385.228	-226.930	807.538	221.026	-214.747	804.467	234.444	-112.885	842.547	0.000	0.000	0.000	310.494	-149.931	605.303	519.838	-210.101	603.717	109.544	-207.891	593.486	569.531	-226.045	543.901	55.682	-227.571	524.684	362.973	-328.360	167.032	270.380	-325.573	174.052	0.000	0.000	0.000	0.000	0.000	0.000	597.262	-230.629	258.911	542.330	-287.883	253.342	40.295	-225.649	237.677	82.407	-279.826	233.057	565.753	-183.312	8.307	539.235	-117.725	18.434	75.459	-174.057	-19.980	105.561	-106.792	-10.454	0.000	0.000	0.000	532.534	-111.399	-78.962	515.839	-104.476	-165.261	544.862	-166.940	-79.694	517.037	-181.301	-146.520	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.073	-164.502	-93.476	113.691	-184.505	-162.218
13	0.12000	387.591	-126.819	839.965	385.224	-226.880	807.529	220.990	-214.684	804.454	234.420	-112.815	842.543	0.000	0.000	0.000	310.486	-149.866	605.285	519.832	-210.032	603.724	109.546	-207.837	593.483	569.553	-226.022	543.908	55.644	-227.529	524.709	362.946	-328.312	167.035	270.356	-325.516	174.053	0.000	0.000	0.000	0.000	0.000	0.000	597.340	-230.621	258.968	542.350	-287.863	253.366	40.299	-225.574	237.653	82.400	-279.789	233.051	565.787	-183.274	8.293	539.249	-117.674	18.455	75.449	-174.021	-19.995	105.570	-106.730	-10.477	0.000	0.000	0.000	532.581	-111.434	-78.968	515.857	-104.454	-165.242	544.854	-166.892	-79.737	517.115	-181.322	-146.465	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.038	-164.489	-93.445	113.677	-184.440	-162.291
14	0.13000	387.580	-126.751	839.942	385.209	-226.813	807.543	220.992	-214.611	804.452	234.407	-112.751	842.512	0.000	0.000	0.000	310.510	-149.840	605.282	519.818	-209.958	603.708	109.551	-207.793	593.456	569.536	-225.923	543.885	55.694	-227.436	524.664	362.933	-328.234	167.021	270.369	-325.448	174.037	0.000	0.000	0.000	0.000	0.000	0.000	597.307	-230.520	258.889	542.392	-287.799	253.325	40.269	-225.546	237.698	82.372	-279.730	233.035	565.798	-183.210	8.249	539.270	-117.654	18.410	75.409	-174.028	-19.934	105.529	-106.716	-10.477	0.000	0.000	0.000	532.616	-111.432	-78.873	515.813	-104.329	-165.327	544.916	-166.893	-79.647	517.060	-181.240	-146.535	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.030	-164.478	-93.437	113.644	-184.384	-162.296
15	0.14000	387.623	-126.698	839.978	385.226	-226.750	807.541	220.978	-214.525	804.432	234.399	-112.664	842.511	0.000	0.000	0.000	310.448	-149.756	605.315	519.848	-209.914	603.697	109.572	-207.730	593.453	569.558	-225.858	543.874	55.705	-227.377	524.633	362.918	-328.195	167.030	270.348	-325.390	174.054	0.000	0.000	0.000	0.000	0.000	0.000	597.348	-230.467	258.916	542.435	-287.760	253.307	40.274	-225.479	237.666	82.378	-279.658	233.019	565.821	-183.149	8.243	539.226	-117.576	18.400	75.404	-173.995	-19.971	105.520	-106.654	-10.567	0.000	0.000	0.000	532.528	-111.300	-78.971	515.876	-104.274	-165.256	544.877	-166.735	-79.777	517.075	-181.237	-146.537	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.039	-164.425	-93.478	113.609	-184.328	-162.348
16	0.15000	387.595	-126.602	839.960	385.230	-226.650	807.534	220.979	-214.466	804.446	234.375	-112.591	842.482	0.000	0.000	0.000	310.515	-149.757	605.257	519.837	-209.860	603.690	109.546	-207.669	593.448	569.556	-225.826	543.867	55.686	-227.354	524.663	362.900	-328.134	167.043	270.353	-325.318	174.037	0.000	0.000	0.000	0.000	0.000	0.000	597.437	-230.457	258.906	542.458	-287.717	253.295	40.265	-225.416	237.680	82.365	-279.598	233.013	565.844	-183.117	8.249	539.234	-117.499	18.388	75.374	-173.962	-19.958	105.509	-106.614	-10.591	0.000	0.000	0.000	532.605	-111.248	-78.962	515.841	-104.126	-165.343	544.935	-166.723	-79.632	517.111	-181.173	-146.536	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	90.969	-164.428	-93.404	113.535	-184.283	-162.370
17	0.16000	387.596	-126.514	839.949	385.200	-226.589	807.543	220.978	-214.383	804.443	234.396	-112.477	842.441	0.000	0.000	0.000	310.536	-149.632	605.267	519.837	-209.812	603.678	109.551	-207.625	593.432	569.557	-225.792	543.843	55.675	-227.258	524.621	362.897	-328.055	167.030	270.310	-325.259	174.070	0.000	0.000	0.000	0.000	0.000	0.000	597.367	-230.328	258.851	542.476	-287.666	253.302	40.269	-225.325	237.671	82.355	-279.525	232.993	565.872	-183.034	8.239	539.278	-117.488	18.454	75.368	-173.891	-20.022	105.474	-106.572	-10.576	0.000	0.000	0.000	532.631	-111.181	-78.920	515.950	-104.120	-165.259	544.875	-166.550	-79.920	517.117	-181.088	-146.567	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	90.980	-164.360	-93.507	113.473	-184.280	-162.367
18	0.17000	387.580	-126.394	839.912	385.192	-226.485	807.570	220.987	-214.324	804.439	234.358	-112.437	842.465	0.000	0.000	0.000	310.480	-149.611	605.246	519.859	-209.759	603.700	109.562	-207.551	593.432	569.554	-225.734	543.866	55.684	-227.181	524.605	362.885	-328.024	167.055	270.286	-325.207	174.110	0.000	0.000	0.000	0.000	0.000	0.000	597.370	-230.280	258.881	542.484	-287.602	253.297	40.265	-225.278	237.656	82.351	-279.478	232.970	565.883	-182.930	8.240	539.144	-117.371	18.270	75.385	-173.822	-20.056	105.456	-106.537	-10.576	0.000	0.000	0.000	532.622	-111.070	-78.971	515.926	-103.900	-165.431	544.984	-166.523	-79.469	517.201	-181.080	-146.526	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	90.927	-164.316	-93.444	113.429	-184.231	-162.377
19	0.18000	387.576	-126.329	839.919	385.210	-226.415	807.577	220.982	-214.251	804.453	234.388	-112.326	842.429	0.000	0.000	0.000	310.563	-149.592	605.248	519.858	-209.702	603.706	109.567	-207.472	593.446	569.566	-225.694	543.887	55.674	-227.133	524.632	362.851	-327.966	167.083	270.270	-325.136	174.101	0.000	0.000	0.000	0.000	0.000	0.000	597.397	-230.225	258.892	542.494	-287.535	253.288	40.287	-225.205	237.651	82.345	-279.423	233.004	565.904	-182.867	8.271	539.172	-117.312	18.331	75.350	-173.775	-20.034	105.469	-106.442	-10.622	0.000	0.000	0.000	532.643	-110.990	-78.967	516.044	-103.905	-165.292	545.019	-166.446	-79.526	517.230	-181.056	-146.495	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	90.937	-164.223	-93.517	113.417	-184.188	-162.401
20	0.19000	387.580	-126.260	839.909	385.214	-226.315	807.568	220.973	-214.197	804.448	234.332	-112.289	842.429	0.000	0.000	0.000	310.549	-149.458	605.278	519.871	-209.672	603.719	109.554	-207.414	593.435	569.567	-225.662	543.905	55.672	-227.074	524.646	362.846	-327.911	167.065	270.264	-325.037	174.084	0.000	0.000	0.000	0.000	0.000	0.000	597.348	-230.146	258.880	542.480	-287.495	253.315	40.264	-225.150	237.680	82.359	-279.343	233.000	565.931	-182.834	8.283	539.337	-117.289	18.452	75.367	-173.686	-20.057	105.392	-106.426	-10.562	0.000	0.000	0.000	532.699	-110.949	-78.893	516.089	-103.855	-165.255	545.001	-166.299	-79.753	517.267	-180.994	-146.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	90.927	-164.163	-93.524	113.361	-184.143	-162.386
