NO_OF_FRAMES	1238
NO_OF_CAMERAS	6
NO_OF_MARKERS	30
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:09:51.002	4128628.66564140
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
11	0.10000	384.619	-145.865	832.319	380.248	-247.030	807.158	216.244	-235.835	807.403	229.951	-131.328	837.565	297.100	-293.189	653.399	302.447	-169.643	604.083	510.672	-237.941	595.584	98.645	-233.563	584.566	560.857	-242.993	534.422	45.311	-238.995	512.374	353.302	-324.679	167.237	259.257	-321.623	174.761	617.122	-192.102	279.785	555.302	-229.877	237.230	3.491	-183.320	250.590	56.668	-222.814	214.616	535.539	39.001	273.574	470.746	31.205	300.471	100.562	51.739	261.037	166.280	38.460	288.212	403.659	128.962	266.676	461.358	127.990	286.901	444.539	213.868	263.552	515.750	122.256	273.355	524.566	189.985	265.192	245.057	118.745	277.257	179.255	132.547	277.836	192.166	217.422	250.183	119.922	123.824	261.606	111.838	193.625	239.532
12	0.11000	384.572	-145.839	832.288	380.220	-247.000	807.156	216.199	-235.843	807.403	229.893	-131.316	837.558	297.015	-293.192	653.401	302.457	-169.674	604.028	510.640	-237.944	595.580	98.613	-233.562	584.567	560.834	-242.993	534.429	45.325	-238.983	512.315	353.322	-324.649	167.199	259.231	-321.621	174.805	617.096	-192.085	279.774	555.281	-229.917	237.242	3.480	-183.327	250.582	56.657	-222.866	214.619	535.469	38.937	273.615	470.670	31.194	300.405	100.576	51.694	261.024	166.281	38.456	288.134	403.573	128.878	266.639	461.310	127.923	286.844	444.457	213.784	263.403	515.731	122.120	273.353	524.427	189.976	265.017	245.032	118.702	277.210	179.259	132.504	277.757	192.169	217.363	250.176	119.835	123.842	261.618	111.837	193.616	239.436
13	0.12000	384.551	-145.820	832.307	380.213	-246.986	807.169	216.160	-235.834	807.412	229.830	-131.321	837.559	297.012	-293.193	653.392	302.439	-169.723	604.000	510.632	-237.935	595.602	98.608	-233.563	584.555	560.811	-242.981	534.429	45.312	-238.992	512.324	353.309	-324.651	167.221	259.234	-321.609	174.774	617.139	-192.124	279.795	555.295	-229.951	237.224	3.478	-183.322	250.535	56.639	-222.878	214.601	535.412	38.948	273.519	470.598	31.180	300.343	100.567	51.690	260.973	166.256	38.444	288.127	403.488	128.801	266.525	461.262	127.881	286.796	444.353	213.736	263.324	515.607	122.168	273.201	524.344	189.945	264.937	245.020	118.669	277.165	179.296	132.484	277.664	192.151	217.362	250.153	119.884	123.826	261.526	111.852	193.574	239.378
14	0.13000	384.541	-145.807	832.319	380.168	-246.964	807.172	216.138	-235.813	807.405	229.784	-131.307	837.542	296.980	-293.170	653.396	302.439	-169.773	603.987	510.584	-237.919	595.602	98.560	-233.552	584.535	560.780	-242.972	534.436	45.272	-238.987	512.318	353.308	-324.649	167.228	259.241	-321.601	174.760	617.093	-192.160	279.816	555.286	-229.981	237.217	3.464	-183.346	250.513	56.625	-222.874	214.580	535.377	38.909	273.523	470.513	31.135	300.292	100.592	51.662	260.907	166.300	38.446	288.001	403.367	128.713	266.457	461.183	127.849	286.738	444.235	213.688	263.234	515.535	122.119	273.132	524.287	189.880	264.895	245.030	118.674	277.145	179.246	132.471	277.638	192.083	217.336	250.189	119.873	123.783	261.500	111.832	193.514	239.318
15	0.14000	384.454	-145.761	832.272	380.139	-246.922	807.179	216.112	-235.804	807.399	229.717	-131.310	837.537	296.962	-293.165	653.390	302.424	-169.706	603.990	510.566	-237.907	595.616	98.519	-233.548	584.533	560.755	-242.980	534.482	45.215	-239.002	512.331	353.309	-324.634	167.226	259.224	-321.609	174.760	617.081	-192.172	279.808	555.261	-230.022	237.238	3.447	-183.368	250.480	56.619	-222.908	214.581	535.339	38.863	273.496	470.484	31.074	300.297	100.615	51.678	260.822	166.277	38.442	287.906	403.303	128.640	266.286	461.135	127.804	286.637	444.138	213.635	263.175	515.461	122.090	273.075	524.244	189.861	264.866	245.015	118.676	277.115	179.254	132.445	277.602	191.959	217.348	250.353	119.864	123.786	261.414	111.843	193.493	239.212
16	0.15000	384.361	-145.689	832.260	380.110	-246.887	807.188	216.074	-235.782	807.392	229.704	-131.262	837.510	296.919	-293.141	653.385	302.348	-169.716	603.955	510.558	-237.890	595.629	98.508	-233.518	584.475	560.745	-242.945	534.469	45.223	-238.963	512.293	353.274	-324.649	167.234	259.218	-321.607	174.765	617.077	-192.179	279.803	555.262	-230.059	237.252	3.490	-183.331	250.374	56.572	-222.950	214.585	535.270	38.864	273.459	470.462	31.016	300.275	100.584	51.639	260.786	166.277	38.428	287.915	403.251	128.613	266.245	461.078	127.738	286.650	444.101	213.602	263.128	515.431	121.979	273.166	524.182	189.817	264.908	245.040	118.653	277.063	179.238	132.420	277.532	191.760	217.359	250.696	119.953	123.711	261.226	111.891	193.488	239.146
17	0.16000	384.319	-145.658	832.279	380.058	-246.856	807.182	216.022	-235.767	807.377	229.643	-131.249	837.501	296.860	-293.150	653.406	302.338	-169.645	604.069	510.510	-237.876	595.634	98.448	-233.529	584.519	560.722	-242.947	534.499	45.154	-238.967	512.282	353.280	-324.615	167.197	259.226	-321.600	174.753	617.026	-192.170	279.836	555.258	-230.087	237.291	3.449	-183.366	250.388	56.574	-222.960	214.568	535.221	38.810	273.466	470.427	30.990	300.242	100.601	51.634	260.722	166.304	38.426	287.828	403.225	128.592	266.206	461.002	127.698	286.650	444.052	213.556	263.128	515.324	122.047	273.154	524.155	189.781	264.944	244.999	118.643	277.011	179.227	132.374	277.539	191.647	217.439	250.745	119.952	123.705	261.126	111.899	193.483	239.032
18	0.17000	384.284	-145.621	832.265	380.019	-246.818	807.205	215.996	-235.733	807.366	229.584	-131.224	837.468	296.854	-293.138	653.393	302.281	-169.641	603.998	510.487	-237.882	595.650	98.431	-233.478	584.464	560.719	-242.936	534.508	45.155	-238.948	512.259	353.283	-324.653	167.228	259.215	-321.596	174.749	617.054	-192.226	279.922	555.260	-230.063	237.253	3.423	-183.379	250.398	56.576	-222.970	214.551	535.210	38.778	273.510	470.387	30.945	300.221	100.632	51.637	260.672	166.306	38.423	287.773	403.218	128.562	266.210	460.918	127.722	286.612	444.040	213.553	263.134	515.300	121.985	273.069	524.122	189.763	264.966	245.019	118.640	276.974	179.251	132.374	277.512	191.580	217.427	250.883	119.967	123.678	261.133	111.958	193.522	238.972
19	0.18000	384.225	-145.586	832.259	379.964	-246.762	807.193	215.949	-235.719	807.389	229.537	-131.168	837.458	296.799	-293.085	653.393	302.298	-169.655	604.041	510.464	-237.875	595.660	98.397	-233.448	584.476	560.679	-242.937	534.527	45.146	-238.911	512.217	353.279	-324.654	167.215	259.217	-321.613	174.729	617.025	-192.217	279.905	555.269	-230.138	237.318	3.409	-183.394	250.355	56.540	-222.969	214.545	535.208	38.735	273.501	470.359	30.943	300.233	100.624	51.634	260.641	166.275	38.386	287.751	403.222	128.553	266.225	460.944	127.666	286.607	444.006	213.523	263.172	515.271	121.984	273.070	524.117	189.757	264.957	245.033	118.636	276.905	179.253	132.358	277.466	191.577	217.442	250.838	119.956	123.659	261.100	111.932	193.555	238.877
20	0.19000	384.176	-145.536	832.282	379.927	-246.744	807.221	215.896	-235.690	807.355	229.477	-131.135	837.436	296.781	-293.076	653.405	302.303	-169.650	604.000	510.436	-237.855	595.673	98.366	-233.422	584.450	560.652	-242.958	534.538	45.114	-238.883	512.188	353.274	-324.630	167.194	259.184	-321.611	174.740	617.033	-192.281	279.975	555.256	-230.139	237.352	3.379	-183.382	250.345	56.539	-222.963	214.550	535.180	38.754	273.465	470.336	30.932	300.220	100.600	51.612	260.656	166.305	38.397	287.743	403.194	128.541	266.259	460.937	127.648	286.700	443.985	213.487	263.195	515.285	121.964	273.100	524.091	189.737	264.966	244.998	118.644	276.929	179.225	132.329	277.503	191.487	217.422	250.813	119.953	123.653	261.132	111.879	193.464	239.047
21	0.20000	384.113	-145.490	832.259	379.878	-246.694	807.253	215.850	-235.659	807.359	229.416	-131.103	837.400	296.709	-293.060	653.421	302.321	-169.705	603.986	510.402	-237.855	595.699	98.348	-233.376	584.414	560.632	-242.953	534.579	45.042	-238.880	512.249	353.274	-324.659	167.179	259.191	-321.612	174.765	617.030	-192.259	279.998	555.252	-230.124	237.378	3.366	-183.411	250.370	56.527	-223.010	214.564	535.177	38.746	273.488	470.376	30.901	300.271	100.604	51.600	260.644	166.290	38.368	287.728	403.195	128.550	266.283	460.938	127.646	286.631	443.983	213.504	263.177	515.320	121.904	273.173	524.127	189.720	264.966	245.000	118.646	276.921	179.200	132.333	277.468	191.467	217.423	250.781	119.961	123.664	261.073	111.913	193.525	238.893
22	0.21000	384.058	-145.455	832.257	379.821	-246.663	807.244	215.813	-235.607	807.366	229.375	-131.029	837.394	296.670	-293.013	653.421	302.176	-169.598	603.968	510.362	-237.854	595.740	98.291	-233.345	584.408	560.607	-242.945	534.595	45.103	-238.819	512.153	353.244	-324.684	167.193	259.174	-321.643	174.756	617.005	-192.246	280.002	555.241	-230.141	237.390	3.371	-183.381	250.294	56.530	-222.974	214.493	535.192	38.735	273.560	470.346	30.949	300.247	100.556	51.554	260.658	166.269	38.394	287.723	403.224	128.578	266.226	460.928	127.684	286.657	444.007	213.510	263.138	515.297	121.944	273.096	524.154	189.736	264.969	244.998	118.652	276.909	179.208	132.341	277.470	191.469	217.452	250.710	119.935	123.626	261.111	111.900	193.532	238.849
23	0.22000	384.019	-145.402	832.242	379.773	-246.603	807.264	215.780	-235.560	807.365	229.309	-130.984	837.369	296.624	-292.995	653.428	302.142	-169.575	603.937	510.332	-237.853	595.755	98.286	-233.316	584.413	560.561	-242.941	534.617	45.064	-238.798	512.174	353.247	-324.700	167.200	259.168	-321.620	174.721	617.045	-192.265	280.064	555.243	-230.147	237.379	3.361	-183.367	250.292	56.512	-222.949	214.508	535.201	38.766	273.580	470.374	30.934	300.284	100.603	51.632	260.599	166.247	38.409	287.727	403.237	128.575	266.209	460.964	127.675	286.690	444.005	213.518	263.100	515.345	121.975	273.113	524.150	189.749	264.973	244.945	118.670	276.981	179.189	132.359	277.441	191.467	217.463	250.703	119.935	123.668	261.043	111.848	193.464	238.904
24	0.23000	383.905	-145.330	832.231	379.731	-246.583	807.283	215.717	-235.512	807.348	229.277	-130.921	837.321	296.592	-292.975	653.420	302.126	-169.612	603.931	510.306	-237.848	595.760	98.246	-233.271	584.403	560.542	-242.924	534.615	45.020	-238.775	512.169	353.230	-324.709	167.191	259.147	-321.637	174.733	617.063	-192.278	280.142	555.233	-230.111	237.443	3.351	-183.354	250.289	56.492	-222.962	214.504	535.239	38.758	273.612	470.388	30.957	300.299	100.577	51.625	260.585	166.235	38.420	287.742	403.262	128.587	266.209	460.992	127.710	286.602	444.054	213.539	263.105	515.352	121.974	273.132	524.171	189.749	264.999	244.962	118.707	277.007	179.185	132.397	277.458	191.457	217.467	250.661	119.952	123.700	260.995	111.851	193.530	238.804
25	0.24000	383.895	-145.303	832.229	379.681	-246.526	807.284	215.668	-235.474	807.353	229.210	-130.897	837.328	296.566	-292.977	653.428	302.087	-169.511	603.969	510.293	-237.835	595.766	98.228	-233.263	584.388	560.519	-242.896	534.641	44.983	-238.758	512.193	353.205	-324.716	167.219	259.131	-321.644	174.713	617.003	-192.196	280.072	555.244	-230.120	237.461	3.346	-183.316	250.257	56.485	-222.927	214.472	535.226	38.794	273.599	470.380	31.010	300.274	100.595	51.668	260.562	166.252	38.453	287.719	403.297	128.635	266.186	461.025	127.700	286.665	444.073	213.569	263.097	515.395	122.022	273.220	524.226	189.777	265.043	244.936	118.705	277.026	179.163	132.407	277.418	191.475	217.512	250.631	119.949	123.728	261.031	111.892	193.576	238.812
26	0.25000	383.841	-145.240	832.213	379.627	-246.489	807.329	215.631	-235.415	807.339	229.153	-130.833	837.311	296.526	-292.953	653.422	302.080	-169.615	603.882	510.237	-237.828	595.820	98.180	-233.234	584.376	560.502	-242.894	534.681	45.013	-238.700	512.080	353.188	-324.711	167.194	259.124	-321.627	174.730	617.019	-192.225	280.176	555.251	-230.088	237.475	3.299	-183.312	250.261	56.497	-222.879	214.459	535.265	38.805	273.633	470.415	30.997	300.314	100.578	51.686	260.586	166.226	38.471	287.734	403.366	128.647	266.161	461.037	127.736	286.658	444.143	213.588	263.151	515.442	121.962	273.364	524.303	189.788	265.060	244.939	118.756	276.982	179.180	132.452	277.449	191.419	217.498	250.717	119.933	123.748	261.043	111.824	193.564	238.887
27	0.26000	383.781	-145.189	832.235	379.594	-246.416	807.310	215.555	-235.379	807.352	229.106	-130.785	837.276	296.488	-292.927	653.426	302.029	-169.585	603.931	510.210	-237.805	595.832	98.145	-233.224	584.367	560.459	-242.881	534.744	44.921	-238.698	512.151	353.162	-324.730	167.206	259.090	-321.641	174.753	617.041	-192.224	280.224	555.263	-230.055	237.534	3.302	-183.259	250.257	56.475	-222.836	214.418	535.257	38.830	273.667	470.403	31.033	300.330	100.576	51.699	260.600	166.231	38.499	287.685	403.392	128.710	266.182	461.089	127.779	286.691	444.233	213.629	263.219	515.496	121.982	273.403	524.326	189.793	265.133	244.926	118.756	276.927	179.196	132.500	277.416	191.406	217.536	250.748	119.953	123.775	261.064	111.843	193.625	238.928
