NO_OF_FRAMES	992
NO_OF_CAMERAS	6
NO_OF_MARKERS	30
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:08:38.998	4128556.66160880
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
11	0.10000	385.526	-139.514	833.649	375.062	-240.076	809.474	212.631	-219.784	806.159	231.635	-115.858	835.857	297.949	-283.651	656.076	304.050	-164.628	601.821	512.152	-234.224	594.415	100.468	-230.852	583.853	562.600	-250.018	534.225	48.211	-250.428	514.843	354.478	-326.510	167.334	260.488	-322.543	174.813	597.704	-247.212	261.608	523.676	-279.714	234.325	21.320	-243.728	238.513	84.909	-279.155	213.456	516.828	-8.930	246.123	510.064	-5.120	317.595	116.507	2.943	225.569	121.014	2.727	299.049	485.430	94.359	366.406	507.482	88.950	304.466	489.303	178.533	296.969	505.014	76.193	249.361	496.885	144.297	225.587	152.782	95.319	354.931	123.140	92.597	288.782	133.539	180.507	278.503	127.029	74.900	230.575	137.245	142.937	200.788
12	0.11000	385.504	-139.517	833.650	375.055	-240.063	809.464	212.622	-219.810	806.118	231.570	-115.913	835.844	297.882	-283.668	656.130	303.992	-164.626	601.822	512.132	-234.216	594.415	100.453	-230.860	583.795	562.602	-250.006	534.188	48.203	-250.421	514.830	354.520	-326.474	167.298	260.511	-322.514	174.800	597.651	-247.112	261.475	523.686	-279.633	234.274	21.315	-243.759	238.538	84.920	-279.117	213.444	516.845	-8.862	246.139	510.097	-5.076	317.600	116.496	3.022	225.461	120.981	2.710	299.058	485.426	94.369	366.463	507.484	89.004	304.477	489.286	178.555	296.973	504.972	76.287	249.370	496.881	144.357	225.590	152.812	95.343	354.900	123.147	92.641	288.731	133.532	180.561	278.448	126.976	74.916	230.581	137.180	142.966	200.796
13	0.12000	385.454	-139.496	833.663	375.055	-240.043	809.455	212.628	-219.841	806.092	231.538	-115.964	835.887	297.922	-283.641	656.067	303.976	-164.576	601.855	512.133	-234.189	594.416	100.467	-230.863	583.771	562.603	-249.972	534.194	48.212	-250.415	514.797	354.533	-326.430	167.293	260.555	-322.480	174.770	597.633	-247.053	261.484	523.693	-279.599	234.291	21.344	-243.780	238.545	84.936	-279.128	213.357	516.800	-8.824	246.146	510.100	-5.043	317.625	116.473	3.032	225.462	120.960	2.723	299.012	485.427	94.436	366.428	507.219	89.204	304.464	489.502	178.413	297.053	504.998	76.310	249.394	496.865	144.403	225.608	152.741	95.347	354.901	123.089	92.634	288.730	133.284	180.331	278.690	126.992	74.965	230.528	137.169	142.974	200.828
14	0.13000	385.414	-139.496	833.685	375.051	-240.045	809.458	212.598	-219.886	806.084	231.475	-116.000	835.880	297.922	-283.620	656.030	303.921	-164.565	601.845	512.123	-234.172	594.406	100.460	-230.862	583.725	562.574	-249.925	534.205	48.228	-250.412	514.745	354.540	-326.397	167.308	260.570	-322.437	174.772	597.731	-247.074	261.573	523.706	-279.555	234.247	21.327	-243.746	238.497	84.958	-279.127	213.342	516.847	-8.794	246.196	510.054	-4.969	317.640	116.486	3.066	225.447	120.957	2.763	298.984	485.399	94.455	366.476	507.444	89.096	304.506	489.195	178.736	296.915	504.999	76.322	249.455	496.903	144.424	225.610	152.733	95.369	354.895	123.063	92.672	288.646	133.221	180.273	278.728	126.946	74.968	230.556	137.165	143.002	200.809
15	0.14000	385.373	-139.464	833.684	375.036	-240.015	809.446	212.595	-219.932	806.101	231.417	-116.026	835.877	297.905	-283.605	656.029	303.893	-164.584	601.840	512.107	-234.133	594.404	100.438	-230.856	583.708	562.568	-249.915	534.172	48.210	-250.440	514.721	354.585	-326.364	167.295	260.595	-322.422	174.781	597.671	-246.993	261.504	523.726	-279.514	234.237	21.391	-243.704	238.418	84.979	-279.131	213.330	516.840	-8.743	246.195	510.074	-4.992	317.672	116.414	3.089	225.429	120.930	2.760	298.989	485.384	94.477	366.487	507.455	89.161	304.508	489.470	178.550	297.070	504.990	76.407	249.470	496.878	144.506	225.636	152.679	95.407	354.875	123.042	92.696	288.691	133.174	180.318	278.700	126.971	75.007	230.513	137.172	143.042	200.757
16	0.15000	385.327	-139.460	833.694	375.027	-239.998	809.446	212.522	-219.961	806.068	231.380	-116.059	835.902	297.905	-283.605	656.029	303.857	-164.467	601.828	512.096	-234.123	594.407	100.437	-230.852	583.684	562.572	-249.878	534.176	48.203	-250.463	514.715	354.602	-326.312	167.304	260.603	-322.395	174.797	597.691	-246.958	261.527	523.714	-279.483	234.249	21.400	-243.708	238.382	85.025	-279.090	213.327	516.811	-8.705	246.154	510.053	-4.927	317.659	116.376	3.129	225.463	120.897	2.800	299.005	485.446	94.500	366.471	507.187	89.345	304.486	489.335	178.700	297.064	504.945	76.480	249.406	496.888	144.543	225.632	152.680	95.445	354.860	123.037	92.756	288.633	133.166	180.366	278.657	126.945	75.019	230.525	137.133	143.111	200.669
17	0.16000	385.286	-139.426	833.705	375.004	-239.983	809.442	212.515	-219.985	806.044	231.318	-116.090	835.904	297.886	-283.611	656.036	303.912	-164.527	601.790	512.095	-234.098	594.403	100.414	-230.850	583.651	562.586	-249.870	534.192	48.209	-250.448	514.647	354.602	-326.290	167.326	260.625	-322.362	174.790	597.686	-246.911	261.516	523.721	-279.454	234.260	21.426	-243.724	238.389	85.054	-279.073	213.296	516.859	-8.701	246.216	510.075	-4.908	317.659	116.411	3.136	225.458	120.890	2.814	298.984	485.428	94.533	366.483	507.432	89.213	304.556	489.255	178.802	296.997	504.988	76.500	249.563	496.886	144.546	225.668	152.622	95.478	354.860	122.958	92.737	288.668	133.360	180.712	278.339	126.915	75.014	230.512	137.096	143.140	200.643
18	0.17000	385.257	-139.429	833.720	375.003	-239.987	809.443	212.496	-219.998	806.041	231.271	-116.101	835.895	297.877	-283.592	656.011	303.853	-164.484	601.848	512.074	-234.070	594.408	100.414	-230.875	583.642	562.559	-249.801	534.183	48.222	-250.455	514.631	354.627	-326.233	167.324	260.656	-322.335	174.781	597.678	-246.896	261.555	523.698	-279.416	234.252	21.430	-243.720	238.365	85.105	-279.049	213.256	516.731	-8.653	246.148	510.019	-4.867	317.659	116.381	3.113	225.417	120.882	2.838	298.987	485.377	94.544	366.534	507.177	89.402	304.537	489.478	178.603	297.138	504.955	76.537	249.431	496.848	144.601	225.683	152.583	95.465	354.879	122.926	92.750	288.684	133.075	180.398	278.632	126.899	75.048	230.502	137.067	143.086	200.756
19	0.18000	385.197	-139.412	833.738	374.983	-239.966	809.426	212.485	-219.991	806.020	231.230	-116.124	835.918	297.858	-283.598	656.018	303.868	-164.477	601.818	512.063	-234.042	594.392	100.411	-230.886	583.625	562.551	-249.803	534.187	48.237	-250.470	514.595	354.652	-326.210	167.317	260.705	-322.299	174.786	597.685	-246.846	261.579	523.722	-279.379	234.228	21.458	-243.762	238.406	85.125	-279.049	213.255	516.752	-8.614	246.171	510.042	-4.847	317.685	116.375	3.171	225.514	120.862	2.839	298.985	485.385	94.597	366.504	507.186	89.399	304.554	489.435	178.654	297.119	504.961	76.593	249.522	496.855	144.595	225.658	152.544	95.484	354.886	122.925	92.747	288.713	133.264	180.679	278.444	126.867	75.043	230.517	137.046	143.172	200.686
20	0.19000	385.128	-139.396	833.741	374.966	-239.955	809.400	212.428	-220.042	806.032	231.166	-116.148	835.903	297.873	-283.559	655.978	303.867	-164.504	601.780	512.049	-234.018	594.400	100.394	-230.887	583.589	562.532	-249.770	534.195	48.231	-250.485	514.582	354.678	-326.153	167.319	260.708	-322.288	174.794	597.659	-246.824	261.556	523.705	-279.351	234.245	21.497	-243.690	238.279	85.139	-279.073	213.255	516.762	-8.595	246.230	510.041	-4.850	317.721	116.393	3.124	225.416	120.856	2.829	298.998	485.358	94.575	366.549	507.146	89.456	304.541	489.166	178.906	296.974	505.030	76.535	249.599	496.832	144.648	225.646	152.543	95.486	354.857	122.879	92.752	288.687	133.201	180.679	278.475	126.808	75.055	230.545	137.015	143.151	200.814
