MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	LASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand																																																																	
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured																																																																	
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	LASI X	LASI Y	LASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z
9	0.08	680.509	-326.401	809.9	673.14	-427.005	786.917	509.766	-412.714	784.753	525.824	-307.848	812.596	596.654	-477.85	656.684	597.358	-368.869	572.605	791.22	-396.618	579.582	409.97	-400.039	576.595	839.944	-372.249	526.033	356.95	-377.567	509.235	659.209	-590.71	170.752	563.635	-593.38	176.974	741.655	-384.097	122.274	459.611	-402.756	146.656	869.154	-258.717	266.115	838.988	-320.876	233.932	351.831	-268.991	255.599	376.333	-321.585	227.068	880.341	-125.841	47.27	810.343	-113.701	45.657	344.137	-113.415	37.279	415.037	-99.461	46.603	769.576	-23.088	14.296	826.032	-34.44	30.307	826.406	53.521	13.923	883.36	-51.612	29.266	917.626	12.57	12.948	466.87	-16.636	13.928	408.056	-21.746	30.264	421.172	62.137	13.899	345.121	-41.403	25.043	318.95	27.442	12.691
10	0.09	680.485	-326.359	809.905	673.15	-426.971	786.94	509.709	-412.731	784.799	525.753	-307.851	812.605	596.662	-477.848	656.674	597.44	-368.828	572.563	791.248	-396.603	579.59	409.981	-400.062	576.602	839.975	-372.234	526.079	357.025	-377.554	509.187	659.214	-590.683	170.728	563.637	-593.369	176.957	741.707	-384.062	122.311	459.621	-402.734	146.613	869.114	-258.667	266.119	838.978	-320.858	233.957	351.827	-268.993	255.594	376.335	-321.604	227.074	880.354	-125.838	47.311	810.264	-113.693	45.658	344.162	-113.392	37.215	415.075	-99.448	46.608	769.546	-23.091	14.324	826.054	-34.435	30.315	826.416	53.539	13.895	883.328	-51.622	29.326	917.635	12.574	12.961	466.821	-16.646	13.836	408.119	-21.703	30.218	421.12	62.124	13.929	345.063	-41.414	24.999	317.933	26.676	14.011
11	0.1	680.49	-326.327	809.9	673.138	-426.952	786.963	509.764	-412.701	784.755	525.776	-307.839	812.538	596.673	-477.868	656.675	597.389	-368.789	572.584	791.226	-396.563	579.553	409.976	-400.078	576.603	839.921	-372.191	526.03	357.013	-377.571	509.168	659.215	-590.671	170.703	563.638	-593.359	176.95	741.706	-384.04	122.265	459.61	-402.716	146.585	869.096	-258.642	266.125	838.912	-320.79	233.897	351.857	-269.011	255.576	376.381	-321.596	227.024	880.345	-125.838	47.292	810.272	-113.686	45.665	344.137	-113.409	37.262	415.11	-99.416	46.614	769.583	-23.076	14.262	826.018	-34.43	30.306	826.398	53.552	13.929	883.304	-51.613	29.321	917.628	12.576	12.947	466.872	-16.647	13.856	408.086	-21.724	30.264	421.162	62.125	13.922	345.12	-41.407	24.981	317.95	26.708	13.987
12	0.11	680.474	-326.312	809.877	673.129	-426.925	786.984	509.745	-412.73	784.771	525.714	-307.843	812.55	596.673	-477.878	656.646	597.362	-368.789	572.58	791.221	-396.581	579.584	409.981	-400.098	576.578	839.894	-372.168	525.998	357.004	-377.617	509.2	659.211	-590.648	170.704	563.651	-593.322	176.961	741.82	-384.02	122.343	459.611	-402.695	146.578	869.062	-258.635	266.105	838.921	-320.819	233.917	351.873	-269.004	255.544	376.389	-321.618	227.062	880.314	-125.811	47.236	810.252	-113.691	45.627	344.159	-113.416	37.231	415.09	-99.444	46.649	769.576	-23.06	14.261	826.016	-34.43	30.333	826.385	53.537	13.927	883.288	-51.615	29.291	917.64	12.593	12.934	466.843	-16.628	13.832	408.117	-21.699	30.206	421.017	62.074	14.084	345.122	-41.41	25.018	319.004	27.451	12.671
13	0.12	680.454	-326.277	809.877	673.147	-426.901	787.015	509.731	-412.739	784.783	525.73	-307.823	812.51	596.683	-477.888	656.656	597.334	-368.766	572.62	791.22	-396.573	579.573	409.979	-400.139	576.579	839.932	-372.159	526.048	357.014	-377.635	509.159	659.217	-590.629	170.699	563.641	-593.291	176.952	741.673	-383.973	122.231	459.605	-402.673	146.588	869.061	-258.625	266.105	838.921	-320.823	233.931	351.901	-269.018	255.513	376.439	-321.627	227.02	880.331	-125.834	47.276	810.261	-113.668	45.648	344.148	-113.43	37.245	415.028	-99.411	46.627	769.594	-23.08	14.274	826.056	-34.448	30.371	826.404	53.547	13.882	883.3	-51.603	29.305	917.653	12.563	12.937	466.845	-16.646	13.897	408.133	-21.702	30.206	421.163	62.147	13.881	345.156	-41.376	24.987	318.984	27.436	12.682
14	0.13	680.441	-326.268	809.858	673.149	-426.916	787.006	509.766	-412.722	784.756	525.718	-307.842	812.522	596.693	-477.907	656.632	597.332	-368.739	572.583	791.228	-396.557	579.563	409.987	-400.175	576.556	839.911	-372.163	526.04	356.969	-377.69	509.181	659.24	-590.623	170.703	563.666	-593.265	176.923	741.743	-383.997	122.299	459.651	-402.644	146.569	869.084	-258.653	266.126	838.937	-320.847	233.95	351.919	-269.037	255.514	376.46	-321.622	227.006	880.335	-125.843	47.273	810.301	-113.682	45.619	344.149	-113.428	37.273	415.043	-99.419	46.618	769.614	-23.053	14.293	826.035	-34.433	30.321	826.409	53.56	13.893	883.302	-51.625	29.301	917.65	12.573	12.923	466.85	-16.634	13.919	408.099	-21.724	30.25	421.167	62.134	13.917	345.118	-41.42	25.011	318.981	27.466	12.655
15	0.14	680.422	-326.259	809.855	673.155	-426.926	786.983	509.735	-412.732	784.785	525.722	-307.853	812.509	596.664	-477.907	656.623	597.328	-368.734	572.569	791.19	-396.562	579.533	409.951	-400.202	576.561	839.918	-372.205	526.007	356.954	-377.735	509.174	659.239	-590.596	170.688	563.694	-593.234	176.93	741.778	-383.995	122.294	459.685	-402.598	146.521	869.075	-258.624	266.086	838.911	-320.826	233.901	351.891	-269.082	255.504	376.479	-321.657	227.002	880.341	-125.835	47.266	810.318	-113.677	45.635	344.159	-113.426	37.251	415.071	-99.435	46.606	769.56	-23.062	14.275	826.048	-34.443	30.314	826.425	53.515	13.881	883.312	-51.634	29.307	917.626	12.573	12.939	466.681	-16.718	13.994	408.115	-21.716	30.211	421.16	62.154	13.89	345.124	-41.435	25.055	318.994	27.458	12.664
16	0.15	680.426	-326.282	809.827	673.166	-426.936	786.973	509.715	-412.756	784.787	525.686	-307.886	812.552	596.679	-477.929	656.615	597.357	-368.699	572.531	791.224	-396.58	579.534	409.942	-400.207	576.549	839.923	-372.187	525.989	356.971	-377.731	509.123	659.257	-590.582	170.686	563.706	-593.197	176.931	741.748	-383.939	122.256	459.686	-402.573	146.533	869.086	-258.662	266.112	838.941	-320.867	233.91	351.895	-269.101	255.509	376.504	-321.654	226.967	880.347	-125.877	47.284	810.322	-113.688	45.608	344.195	-113.413	37.225	415.084	-99.398	46.619	769.592	-23.08	14.268	826.047	-34.443	30.349	826.39	53.555	13.902	883.402	-51.63	29.219	917.596	12.567	12.923	466.839	-16.614	13.843	408.13	-21.712	30.189	421.031	62.07	14.079	345.133	-41.398	25.006	319.025	27.452	12.65
17	0.16	680.414	-326.291	809.836	673.134	-426.935	786.956	509.745	-412.772	784.769	525.728	-307.887	812.554	596.693	-477.9	656.605	597.274	-368.761	572.563	791.276	-396.601	579.552	409.945	-400.223	576.523	839.972	-372.238	525.981	356.962	-377.756	509.127	659.235	-590.559	170.705	563.69	-593.176	176.928	741.782	-383.913	122.231	459.665	-402.557	146.539	869.095	-258.665	266.108	838.936	-320.868	233.895	351.911	-269.117	255.497	376.492	-321.673	226.976	880.357	-125.878	47.249	810.317	-113.674	45.652	344.174	-113.418	37.206	415.102	-99.419	46.64	769.584	-23.069	14.249	826.057	-34.451	30.333	826.424	53.534	13.902	883.338	-51.617	29.309	917.623	12.566	12.951	466.856	-16.634	13.83	408.118	-21.726	30.223	421.16	62.122	13.934	345.092	-41.42	24.986	317.935	26.678	14.014
18	0.17	680.424	-326.326	809.888	673.12	-426.959	786.959	509.727	-412.786	784.767	525.686	-307.936	812.572	596.684	-477.913	656.586	597.275	-368.763	572.581	791.211	-396.587	579.513	409.956	-400.221	576.525	839.991	-372.233	525.982	356.963	-377.759	509.084	659.248	-590.533	170.684	563.693	-593.169	176.923	741.807	-383.935	122.253	459.669	-402.532	146.57	869.123	-258.701	266.103	838.93	-320.869	233.88	351.926	-269.117	255.494	376.508	-321.673	226.974	880.324	-125.879	47.212	810.334	-113.686	45.591	344.106	-113.462	37.311	415.11	-99.444	46.634	769.545	-23.086	14.261	826.036	-34.461	30.329	826.412	53.517	13.915	883.369	-51.62	29.244	917.636	12.57	12.886	466.888	-16.652	13.868	408.113	-21.717	30.206	421.023	62.025	14.112	345.071	-41.457	25.016	317.91	26.665	14.036
