NO_OF_FRAMES	2000
NO_OF_CAMERAS	6
NO_OF_MARKERS	32
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 11:58:31.248	4127948.91220950
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	LASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Measured	Mixed
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	LASI X	LASI Y	LASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
11	0.10000	385.771	-146.583	842.331	381.234	-244.752	805.377	217.064	-229.087	804.167	232.593	-129.653	847.089	297.854	-282.357	657.217	305.965	-161.917	603.989	525.134	-230.427	586.892	102.230	-221.463	588.059	563.729	-240.436	514.260	45.312	-236.813	517.550	349.545	-333.380	166.776	255.338	-327.485	175.024	451.713	-134.456	136.688	176.201	-125.997	148.497	584.364	-267.680	253.625	522.451	-316.891	247.412	24.749	-249.313	238.740	66.608	-304.842	234.028	559.174	-214.005	2.154	537.935	-147.623	13.959	62.654	-200.476	-21.650	95.673	-136.129	-9.370	0.000	0.000	0.000	0.000	0.000	0.000	519.545	-117.961	-166.861	544.121	-189.309	-86.406	512.536	-192.679	-154.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.359	-179.351	-97.092	100.737	-186.245	-168.248
12	0.11000	385.742	-146.444	842.331	381.253	-244.653	805.440	217.068	-228.982	804.157	232.540	-129.590	847.127	297.876	-282.269	657.234	305.985	-161.929	603.959	525.134	-230.358	586.872	102.214	-221.379	588.056	563.720	-240.380	514.277	45.328	-236.719	517.554	349.544	-333.373	166.798	255.325	-327.465	175.027	451.720	-134.458	136.665	176.139	-125.981	148.523	584.329	-267.601	253.630	522.475	-316.839	247.412	24.740	-249.275	238.767	66.595	-304.832	234.042	559.168	-213.966	2.151	537.880	-147.655	13.958	62.649	-200.466	-21.627	95.687	-136.153	-9.364	0.000	0.000	0.000	0.000	0.000	0.000	519.543	-117.990	-166.787	543.983	-189.231	-86.619	512.527	-192.705	-154.539	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.333	-179.337	-97.089	100.759	-186.224	-168.344
13	0.12000	385.757	-146.341	842.336	381.237	-244.518	805.471	217.045	-228.912	804.175	232.567	-129.476	847.098	297.898	-282.166	657.219	305.966	-161.866	603.966	525.132	-230.280	586.868	102.233	-221.329	588.080	563.697	-240.320	514.258	45.312	-236.661	517.586	349.547	-333.339	166.795	255.338	-327.446	175.022	451.704	-134.426	136.681	176.172	-125.960	148.440	584.294	-267.555	253.587	522.445	-316.801	247.406	24.731	-249.257	238.784	66.596	-304.798	234.051	559.151	-213.936	2.164	537.923	-147.598	13.962	62.647	-200.441	-21.645	95.680	-136.151	-9.343	0.000	0.000	0.000	0.000	0.000	0.000	519.466	-117.956	-166.860	543.987	-189.223	-86.616	512.512	-192.669	-154.575	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.353	-179.350	-97.109	100.733	-186.231	-168.338
14	0.13000	385.716	-146.194	842.301	381.252	-244.424	805.454	217.046	-228.812	804.167	232.561	-129.364	847.066	297.903	-282.091	657.229	305.974	-161.817	603.945	525.146	-230.229	586.870	102.236	-221.258	588.068	563.679	-240.243	514.244	45.315	-236.624	517.618	349.540	-333.343	166.828	255.328	-327.420	175.006	451.652	-134.338	136.661	176.100	-125.925	148.478	584.347	-267.541	253.576	522.452	-316.773	247.429	24.735	-249.218	238.773	66.576	-304.780	234.073	559.126	-213.920	2.158	537.863	-147.581	13.967	62.634	-200.435	-21.645	95.705	-136.137	-9.364	0.000	0.000	0.000	0.000	0.000	0.000	519.492	-118.037	-166.742	543.975	-189.241	-86.608	512.464	-192.660	-154.598	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.344	-179.334	-97.114	100.721	-186.257	-168.311
15	0.14000	385.708	-146.063	842.294	381.234	-244.321	805.453	217.063	-228.713	804.167	232.580	-129.252	847.053	297.870	-282.029	657.223	305.965	-161.745	603.989	525.165	-230.163	586.907	102.237	-221.177	588.053	563.687	-240.207	514.239	45.336	-236.545	517.586	349.535	-333.309	166.821	255.332	-327.406	175.014	451.597	-134.370	136.613	176.120	-125.915	148.449	584.328	-267.529	253.625	522.425	-316.760	247.423	24.724	-249.189	238.799	66.562	-304.775	234.086	559.107	-213.926	2.138	537.843	-147.557	13.989	62.620	-200.455	-21.604	95.658	-136.133	-9.339	0.000	0.000	0.000	0.000	0.000	0.000	519.413	-118.000	-166.812	544.026	-189.326	-86.514	512.427	-192.661	-154.604	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.329	-179.338	-97.136	100.715	-186.254	-168.374
16	0.15000	385.715	-145.974	842.283	381.214	-244.220	805.444	217.067	-228.607	804.175	232.564	-129.158	847.028	297.890	-281.924	657.216	305.965	-161.584	603.968	525.167	-230.106	586.902	102.241	-221.100	588.028	563.704	-240.154	514.257	45.313	-236.498	517.604	349.536	-333.298	166.806	255.350	-327.387	175.026	451.686	-134.348	136.684	176.018	-125.933	148.524	584.338	-267.526	253.607	522.415	-316.728	247.405	24.739	-249.146	238.778	66.559	-304.744	234.066	559.059	-213.927	2.145	537.828	-147.551	13.970	62.613	-200.485	-21.560	95.605	-136.137	-9.301	0.000	0.000	0.000	0.000	0.000	0.000	519.307	-117.967	-166.873	543.885	-189.217	-86.622	512.390	-192.665	-154.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.335	-179.333	-97.177	100.663	-186.279	-168.334
17	0.16000	385.709	-145.834	842.258	381.205	-244.111	805.439	217.066	-228.510	804.178	232.561	-129.026	847.011	297.865	-281.871	657.235	305.955	-161.584	603.920	525.163	-230.022	586.909	102.238	-221.045	588.060	563.667	-240.086	514.236	45.305	-236.445	517.624	349.536	-333.270	166.828	255.347	-327.368	175.031	451.616	-134.301	136.622	176.058	-125.896	148.462	584.248	-267.480	253.564	522.381	-316.693	247.388	24.715	-249.134	238.769	66.560	-304.718	234.090	559.031	-213.928	2.122	537.779	-147.544	13.948	62.605	-200.494	-21.607	95.640	-136.167	-9.330	0.000	0.000	0.000	0.000	0.000	0.000	519.241	-117.975	-166.939	543.830	-189.212	-86.711	512.362	-192.664	-154.590	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.292	-179.397	-97.136	100.658	-186.300	-168.350
18	0.17000	385.720	-145.751	842.267	381.192	-244.018	805.454	217.045	-228.408	804.163	232.562	-128.920	847.015	297.871	-281.782	657.247	305.978	-161.518	603.976	525.158	-229.972	586.896	102.211	-220.977	588.046	563.652	-240.016	514.221	45.318	-236.364	517.594	349.534	-333.258	166.841	255.318	-327.342	175.052	451.506	-134.269	136.576	176.036	-125.886	148.478	584.285	-267.509	253.618	522.358	-316.690	247.425	24.716	-249.115	238.799	66.540	-304.676	234.103	558.991	-213.937	2.118	537.799	-147.568	13.961	62.588	-200.504	-21.637	95.658	-136.140	-9.387	0.000	0.000	0.000	0.000	0.000	0.000	519.234	-118.022	-166.963	543.793	-189.222	-86.686	512.339	-192.660	-154.598	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.314	-179.409	-97.155	100.657	-186.345	-168.346
19	0.18000	385.689	-145.605	842.193	381.167	-243.892	805.458	217.045	-228.279	804.152	232.554	-128.795	846.998	297.871	-281.677	657.256	305.938	-161.446	603.910	525.164	-229.899	586.908	102.235	-220.864	588.037	563.668	-239.957	514.224	45.335	-236.281	517.570	349.538	-333.235	166.873	255.315	-327.350	175.092	451.568	-134.263	136.618	176.057	-125.876	148.449	584.265	-267.457	253.614	522.321	-316.653	247.433	24.709	-249.106	238.823	66.527	-304.672	234.110	558.957	-213.931	2.106	537.808	-147.569	13.905	62.586	-200.529	-21.606	95.591	-136.190	-9.321	0.000	0.000	0.000	0.000	0.000	0.000	519.262	-118.067	-166.887	543.790	-189.216	-86.705	512.257	-192.610	-154.753	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.305	-179.426	-97.186	100.627	-186.419	-168.306
20	0.19000	385.704	-145.502	842.198	381.150	-243.807	805.448	217.052	-228.142	804.174	232.565	-128.664	846.989	297.840	-281.589	657.262	305.936	-161.321	603.964	525.173	-229.824	586.890	102.201	-220.803	588.028	563.656	-239.909	514.226	45.287	-236.229	517.597	349.508	-333.213	166.886	255.335	-327.311	175.041	451.642	-134.233	136.617	175.979	-125.857	148.466	584.157	-267.417	253.536	522.302	-316.617	247.444	24.712	-249.063	238.813	66.527	-304.647	234.135	558.940	-213.940	2.098	537.814	-147.561	13.954	62.606	-200.486	-21.732	95.603	-136.175	-9.379	0.000	0.000	0.000	0.000	0.000	0.000	519.275	-118.090	-166.920	543.792	-189.246	-86.639	512.273	-192.665	-154.584	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.274	-179.506	-97.094	100.653	-186.446	-168.336
21	0.20000	385.707	-145.419	842.192	381.136	-243.676	805.443	217.018	-228.056	804.184	232.532	-128.547	846.985	297.837	-281.525	657.292	305.984	-161.316	603.908	525.157	-229.775	586.898	102.188	-220.731	588.041	563.649	-239.855	514.239	45.311	-236.152	517.587	349.493	-333.194	166.870	255.314	-327.281	175.069	451.521	-134.197	136.590	175.951	-125.848	148.459	584.205	-267.448	253.598	522.266	-316.584	247.470	24.726	-249.028	238.779	66.548	-304.630	234.127	558.906	-213.965	2.156	537.781	-147.569	13.922	62.618	-200.515	-21.680	95.568	-136.199	-9.435	0.000	0.000	0.000	0.000	0.000	0.000	519.230	-118.077	-166.968	543.736	-189.264	-86.681	512.230	-192.600	-154.735	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.303	-179.512	-97.153	100.658	-186.507	-168.297
22	0.21000	385.728	-145.284	842.166	381.104	-243.555	805.439	217.021	-227.930	804.172	232.550	-128.410	846.965	297.817	-281.425	657.310	305.965	-161.245	603.906	525.144	-229.712	586.901	102.182	-220.643	588.027	563.613	-239.811	514.226	45.307	-236.098	517.582	349.502	-333.153	166.884	255.306	-327.252	175.072	451.510	-134.168	136.599	176.011	-125.806	148.392	584.157	-267.408	253.554	522.234	-316.539	247.472	24.729	-249.013	238.793	66.538	-304.609	234.168	558.889	-213.951	2.157	537.774	-147.567	13.901	62.581	-200.573	-21.612	95.561	-136.214	-9.452	0.000	0.000	0.000	0.000	0.000	0.000	519.271	-118.082	-166.938	543.769	-189.260	-86.670	512.257	-192.675	-154.591	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.275	-179.583	-97.118	100.669	-186.526	-168.321
23	0.22000	385.693	-145.164	842.171	381.104	-243.475	805.454	217.014	-227.806	804.167	232.542	-128.292	846.942	297.798	-281.353	657.316	305.957	-161.136	603.940	525.158	-229.662	586.920	102.178	-220.577	588.028	563.650	-239.777	514.266	45.290	-236.015	517.557	349.492	-333.144	166.867	255.298	-327.263	175.062	451.512	-134.147	136.585	175.900	-125.807	148.492	584.138	-267.383	253.588	522.204	-316.511	247.488	24.689	-249.030	238.820	66.533	-304.577	234.154	558.868	-213.941	2.160	537.789	-147.553	13.914	62.594	-200.586	-21.623	95.513	-136.232	-9.420	0.000	0.000	0.000	0.000	0.000	0.000	519.262	-118.108	-166.912	543.701	-189.265	-86.651	512.243	-192.664	-154.609	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.303	-179.590	-97.178	100.669	-186.561	-168.346
